"",BBK01.OEBM07V,BBK01.OEBM07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:02,
2002-01,0.003,
2002-04,0.003,
2002-07,0.003,
2002-10,0.003,
2003-01,0.006,
2003-04,0.012,
2003-07,0.021,
2003-10,0.019,
2004-01,0.019,
2004-04,0.027,
2004-07,0.028,
2004-10,0.029,
2005-01,0.043,
2005-04,0.043,
2005-07,0.045,
2005-10,0.041,
2006-01,0.039,
2006-04,0.039,
2006-07,0.041,
2006-10,0.039,
2007-01,0.040,
2007-04,0.037,
2007-07,0.010,
2007-10,0.006,
2008-01,0.005,
2008-04,0.005,
2008-07,0.004,
2008-10,0.005,
2009-01,0.007,
2009-04,0.006,
2009-07,0.008,
2009-10,0.010,
2010-01,0.067,
2010-04,0.030,
2010-07,0.033,
2010-10,0.035,
2011-01,0.026,
2011-04,0.013,
2011-07,0.013,
2011-10,0.012,
2012-01,0.012,
2012-04,0.010,
2012-07,0.012,
2012-10,0.015,
2013-01,0.020,
2013-04,0.018,
2013-07,0.020,
2013-10,0.019,
2014-01,0.034,
2014-04,0.034,
2014-07,0.051,
