"",BBK01.CEL590,BBK01.CEL590_FLAGS
"",Equity and investment fund shares                                                     debtor: Investment fund shares  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:06,
1999-01,26.5,
1999-04,21.9,
1999-07,15.5,
1999-10,30.0,
2000-01,23.0,
2000-04,18.7,
2000-07,18.9,
2000-10,26.8,
2001-01,20.9,
2001-04,7.1,
2001-07,6.7,
2001-10,29.2,
2002-01,16.0,
2002-04,15.8,
2002-07,10.1,
2002-10,13.2,
2003-01,15.4,
2003-04,15.3,
2003-07,7.3,
2003-10,6.4,
2004-01,6.7,
2004-04,-1.2,
2004-07,-6.3,
2004-10,8.0,
2005-01,7.1,
2005-04,8.9,
2005-07,11.4,
2005-10,14.6,
2006-01,5.4,
2006-04,6.0,
2006-07,3.4,
2006-10,4.6,
2007-01,11.7,
2007-04,-2.1,
2007-07,-3.1,
2007-10,10.6,
2008-01,-4.1,
2008-04,7.5,
2008-07,5.9,
2008-10,-5.1,
2009-01,9.1,
2009-04,1.6,
2009-07,15.0,
2009-10,23.6,
2010-01,20.9,
2010-04,15.3,
2010-07,23.5,
2010-10,26.4,
2011-01,14.6,
2011-04,5.4,
2011-07,5.4,
2011-10,19.9,
2012-01,21.8,
2012-04,15.2,
2012-07,21.4,
2012-10,30.1,
2013-01,30.1,
2013-04,13.9,
2013-07,19.2,
2013-10,29.7,
2014-01,23.8,
2014-04,14.3,
2014-07,21.2,
