"",BBFB1.Q.N.DE.FR.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:14,
1991-01,908.109,
1991-04,956.544,
1991-07,964.499,
1991-10,943.274,
1992-01,924.184,
1992-04,1001.534,
1992-07,1052.980,
1992-10,1040.675,
1993-01,952.770,
1993-04,981.026,
1993-07,987.238,
1993-10,1199.439,
1994-01,1046.582,
1994-04,1050.157,
1994-07,1115.604,
1994-10,1088.914,
1995-01,1139.413,
1995-04,1050.787,
1995-07,1155.281,
1995-10,1262.570,
1996-01,1091.497,
1996-04,1166.850,
1996-07,1281.429,
1996-10,1280.026,
1997-01,1212.706,
1997-04,1208.916,
1997-07,1296.588,
1997-10,1462.770,
1998-01,1339.301,
1998-04,1440.211,
1998-07,1492.293,
1998-10,1513.012,
1999-01,1314.029,
1999-04,1436.454,
1999-07,1589.491,
1999-10,1644.482,
2000-01,1615.266,
2000-04,1680.730,
2000-07,1608.289,
2000-10,1764.170,
2001-01,1600.851,
2001-04,1757.539,
2001-07,1847.234,
2001-10,2105.345,
2002-01,2073.280,
2002-04,2126.343,
2002-07,2259.371,
2002-10,2511.070,
2003-01,1805.467,
2003-04,2048.582,
2003-07,2011.524,
2003-10,2001.403,
2004-01,2128.351,
2004-04,2084.390,
2004-07,2037.312,
2004-10,2098.888,
2005-01,1998.691,
2005-04,2201.466,
2005-07,2126.785,
2005-10,2367.744,
2006-01,2467.235,
2006-04,2733.826,
2006-07,2666.273,
2006-10,3011.115,
2007-01,2684.369,
2007-04,2636.527,
2007-07,2684.083,
2007-10,2605.118,
2008-01,2555.928,
2008-04,2799.601,
2008-07,2884.188,
2008-10,2877.417,
2009-01,2769.725,
2009-04,2975.195,
2009-07,2992.223,
2009-10,3371.125,
2010-01,2770.012,
2010-04,3093.101,
2010-07,3040.598,
2010-10,3156.902,
2011-01,2875.329,
2011-04,2999.477,
2011-07,3264.559,
2011-10,3408.160,
2012-01,3165.950,
2012-04,3089.340,
2012-07,3327.734,
2012-10,3267.235,
2013-01,2866.030,
2013-04,3075.295,
2013-07,3010.333,
2013-10,2935.689,
2014-01,2828.872,Provisional value
2014-04,2874.125,Provisional value
2014-07,3062.181,Provisional value
