"",BBK01.OEBI05O,BBK01.OEBI05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:41,
2002-01,-16.029,
2002-04,-15.756,
2002-07,-15.827,
2002-10,-15.806,
2003-01,-15.211,
2003-04,-14.919,
2003-07,-15.045,
2003-10,-14.393,
2004-01,-14.063,
2004-04,-13.728,
2004-07,-13.318,
2004-10,-13.165,
2005-01,0.584,
2005-04,0.858,
2005-07,0.987,
2005-10,0.895,
2006-01,0.819,
2006-04,0.782,
2006-07,0.951,
2006-10,1.006,
2007-01,0.968,
2007-04,0.971,
2007-07,1.022,
2007-10,0.946,
2008-01,0.949,
2008-04,0.958,
2008-07,0.983,
2008-10,0.854,
2009-01,1.294,
2009-04,1.253,
2009-07,1.221,
2009-10,1.295,
2010-01,0.857,
2010-04,0.988,
2010-07,0.902,
2010-10,0.827,
2011-01,0.737,
2011-04,0.764,
2011-07,0.781,
2011-10,0.790,
2012-01,0.766,
2012-04,0.807,
2012-07,0.835,
2012-10,0.850,
2013-01,0.872,
2013-04,1.015,
2013-07,1.009,
2013-10,1.008,
2014-01,0.972,
2014-04,0.958,
2014-07,0.921,
