"",BBK01.OEXB14M,BBK01.OEXB14M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:50,
2002-01,0.613,
2002-04,0.614,
2002-07,0.612,
2002-10,0.597,
2003-01,0.600,
2003-04,0.583,
2003-07,0.558,
2003-10,0.574,
2004-01,0.559,
2004-04,0.566,
2004-07,0.540,
2004-10,0.395,
2005-01,0.388,
2005-04,0.404,
2005-07,0.382,
2005-10,0.362,
2006-01,0.365,
2006-04,0.371,
2006-07,0.340,
2006-10,0.322,
2007-01,0.634,
2007-04,0.645,
2007-07,0.618,
2007-10,0.634,
2008-01,0.644,
2008-04,0.636,
2008-07,0.623,
2008-10,0.636,
2009-01,0.576,
2009-04,0.577,
2009-07,0.589,
2009-10,0.548,
2010-01,0.554,
2010-04,0.546,
2010-07,0.529,
2010-10,0.537,
2011-01,0.536,
2011-04,0.553,
2011-07,0.522,
2011-10,0.512,
2012-01,0.507,
2012-04,0.504,
2012-07,0.474,
2012-10,0.484,
2013-01,0.480,
2013-04,0.472,
2013-07,0.447,
2013-10,0.463,
2014-01,0.450,
2014-04,0.454,
2014-07,0.449,
