"",BBK01.OEAC05P,BBK01.OEAC05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:01,
2002-01,1.463,
2002-04,1.467,
2002-07,1.468,
2002-10,1.445,
2003-01,1.431,
2003-04,1.399,
2003-07,1.348,
2003-10,1.291,
2004-01,1.315,
2004-04,1.257,
2004-07,1.277,
2004-10,1.225,
2005-01,1.257,
2005-04,1.258,
2005-07,1.262,
2005-10,1.245,
2006-01,1.236,
2006-04,1.275,
2006-07,1.298,
2006-10,1.286,
2007-01,1.268,
2007-04,1.275,
2007-07,1.288,
2007-10,1.302,
2008-01,1.277,
2008-04,1.347,
2008-07,1.371,
2008-10,1.357,
2009-01,1.249,
2009-04,1.205,
2009-07,1.212,
2009-10,1.209,
2010-01,1.204,
2010-04,1.117,
2010-07,1.071,
2010-10,1.084,
2011-01,1.062,
2011-04,1.077,
2011-07,1.103,
2011-10,1.093,
2012-01,1.135,
2012-04,1.178,
2012-07,1.205,
2012-10,1.162,
2013-01,1.196,
2013-04,1.178,
2013-07,1.153,
2013-10,1.141,
2014-01,1.111,
2014-04,1.079,
2014-07,1.099,
