"",BBK01.CEB001,BBK01.CEB001_FLAGS
"",Financial assets debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:14,
1991-01,1301.6,
1991-04,1316.9,
1991-07,1326.6,
1991-10,1310.1,
1992-01,1355.3,
1992-04,1365.7,
1992-07,1307.6,
1992-10,1361.5,
1993-01,1395.7,
1993-04,1404.8,
1993-07,1435.1,
1993-10,1551.1,
1994-01,1562.2,
1994-04,1558.8,
1994-07,1567.9,
1994-10,1643.2,
1995-01,1653.3,
1995-04,1688.8,
1995-07,1732.1,
1995-10,1751.5,
1996-01,1787.0,
1996-04,1805.7,
1996-07,1833.0,
1996-10,1900.1,
1997-01,1974.0,
1997-04,2025.7,
1997-07,2104.4,
1997-10,2067.9,
1998-01,2251.7,
1998-04,2342.1,
1998-07,2191.4,
1998-10,2309.9,
1999-01,2494.4,
1999-04,2466.7,
1999-07,2419.1,
1999-10,2680.2,
2000-01,2718.7,
2000-04,2716.2,
2000-07,2725.8,
2000-10,2860.9,
2001-01,2777.5,
2001-04,2792.7,
2001-07,2684.2,
2001-10,2970.1,
2002-01,2998.6,
2002-04,2887.6,
2002-07,2566.4,
2002-10,2470.6,
2003-01,2423.7,
2003-04,2521.6,
2003-07,2517.5,
2003-10,2587.2,
2004-01,2533.6,
2004-04,2585.3,
2004-07,2570.1,
2004-10,2603.3,
2005-01,2598.7,
2005-04,2678.8,
2005-07,2745.9,
2005-10,2804.7,
2006-01,2662.2,
2006-04,2668.6,
2006-07,2778.1,
2006-10,2916.1,
2007-01,3009.4,
2007-04,3064.0,
2007-07,3124.3,
2007-10,3191.1,
2008-01,3095.7,
2008-04,3123.8,
2008-07,3124.4,
2008-10,3063.4,
2009-01,3006.6,
2009-04,3023.9,
2009-07,3078.1,
2009-10,3082.8,
2010-01,3133.0,
2010-04,3175.0,
2010-07,3168.5,
2010-10,3052.6,
2011-01,3088.0,
2011-04,3111.0,
2011-07,2935.5,
2011-10,3070.0,
2012-01,3181.6,
2012-04,3153.8,
2012-07,3259.3,
2012-10,3360.3,
2013-01,3404.4,
2013-04,3323.7,
2013-07,3443.0,
2013-10,3528.0,
2014-01,3490.4,
