"",BBEX3.M.MRO.EUR.CA.AA.A01,BBEX3.M.MRO.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Mauritania / EUR 1 = MRO ... (buying),
unit,MRO (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:18,
1999-01,231.64,
1999-02,224.20,
1999-03,221.26,
1999-04,218.61,
1999-05,214.10,
1999-06,213.41,
1999-07,217.31,
1999-08,220.00,
1999-09,219.30,
1999-10,223.39,
1999-11,218.46,
1999-12,224.28,
2000-01,221.61,
2000-02,226.51,
2000-03,220.68,
2000-04,216.09,
2000-05,223.43,
2000-06,224.57,comment
2000-07,221.00,
2000-08,213.92,
2000-09,218.15,comment
2000-10,208.89,
2000-11,215.03,
2000-12,234.07,
2001-01,230.52,
2001-02,231.49,
2001-03,222.85,
2001-04,224.18,
2001-05,215.19,
2001-06,217.74,
2001-07,222.73,
2001-08,232.57,
2001-09,232.05,
2001-10,232.69,
2001-11,231.62,comment
2001-12,232.33,
2002-01,229.53,
2002-02,236.27,
2002-03,239.33,
2002-04,247.59,
2002-05,256.53,
2002-06,268.41,
2002-07,267.40,
2002-08,265.59,
2002-09,262.89,
2002-10,262.69,
2002-11,265.59,
2002-12,267.75,
2003-01,268.78,
2003-02,269.76,
2003-03,270.88,
2003-04,276.76,
2003-05,288.57,
2003-06,289.20,
2003-07,290.80,
2003-08,288.04,
2003-09,292.36,
2003-10,298.76,
2003-11,300.10,
2003-12,303.84,
2004-01,309.58,
2004-02,318.22,
2004-03,323.50,
2004-04,315.30,
2004-05,323.54,
2004-06,323.78,
2004-07,321.72,
2004-08,320.91,
2004-09,326.64,
2004-10,336.15,
2004-11,346.18,
2004-12,347.64,
2005-01,337.13,
2005-02,343.83,
2005-03,341.21,
2005-04,341.56,
2005-05,327.57,
2005-06,319.34,
2005-07,319.17,
2005-08,321.71,
2005-09,317.60,
2005-10,321.52,
2005-11,314.29,
2005-12,316.24,
2006-01,322.82,
2006-02,316.08,
2006-03,323.15,
2006-04,334.50,
2006-05,342.71,
2006-06,338.82,
2006-07,339.86,
2006-08,342.42,
2006-09,337.65,
2006-10,338.23,
2006-11,351.46,
2006-12,350.90,
2007-01,344.97,
2007-02,352.62,
2007-03,355.32,
2007-04,355.23,
2007-05,343.59,
2007-06,344.66,
2007-07,345.12,
2007-08,347.87,
2007-09,362.51,
2007-10,364.22,
2007-11,365.18,
2007-12,364.91,
2008-01,368.76,
2008-02,377.65,
2008-03,381.54,
2008-04,371.65,
2008-05,372.65,
2008-06,365.43,
2008-07,351.81,
2008-08,337.86,
2008-09,337.71,
2008-10,318.34,
2008-11,327.93,
2008-12,369.08,
2009-01,340.05,
2009-02,330.64,
2009-03,348.09,
2009-04,352.85,
2009-05,368.62,
2009-06,370.25,
2009-07,367.87,
2009-08,368.66,
2009-09,376.54,
2009-10,384.24,
2009-11,390.88,
2009-12,373.57,
2010-01,363.25,
2010-02,351.56,
2010-03,354.29,
2010-04,354.04,
2010-05,335.21,
2010-06,344.38,
2010-07,370.36,
2010-08,363.07,
2010-09,388.17,
2010-10,393.15,
2010-11,365.75,
2010-12,369.42,
2011-01,380.55,
2011-02,396.79,
2011-03,390.93,
2011-04,397.22,
2011-05,388.82,
2011-06,393.23,
2011-07,395.06,
2011-08,399.53,
2011-09,386.46,
2011-10,403.59,
2011-11,381.60,
2011-12,373.58,
2012-01,379.54,
2012-02,392.09,
2012-03,386.00,
2012-04,384.57,
2012-05,362.06,
2012-06,366.44,
2012-07,366.37,
2012-08,376.34,
2012-09,386.71,
2012-10,384.19,
2012-11,384.87,
2012-12,399.56,
2013-01,403.02,
2013-02,388.19,
2013-03,382.47,
2013-04,391.96,
2013-05,392.42,
2013-06,392.95,
2013-07,400.12,
2013-08,402.69,
2013-09,408.04,
2013-10,407.83,
2013-11,398.34,
2013-12,411.74,
2014-01,410.54,
2014-02,409.10,
2014-03,409.79,
2014-04,411.92,
2014-05,406.74,
2014-06,406.68,
2014-07,401.70,
2014-08,396.05,
2014-09,383.31,
2014-10,382.62,
2014-11,382.64,
2014-12,379.38,
2015-01,349.83,
"","Source: Banque Centrale de Mauritanie, Nouakchott.",
"",Comment on 2000-06: Exchange rate as of 27 June 2000.,
"",Comment on 2000-09: Exchange rate as of 27 September 2000.,
"",Comment on 2001-11: Exchange rate as of 27 November 2001.,
