"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CA.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CA.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:14,
2009-09,2755,
2009-10,2715,
2009-11,2863,
2009-12,2922,
2010-01,2975,
2010-02,2994,
2010-03,2982,
2010-04,3071,
2010-05,3241,
2010-06,3325,
2010-07,3153,
2010-08,3250,
2010-09,3185,
2010-10,3182,
2010-11,3178,
2010-12,3086,
2011-01,2982,
2011-02,2951,
2011-03,2827,
2011-04,2743,
2011-05,2631,
2011-06,2615,
2011-07,2703,
2011-08,2831,
2011-09,2945,
2011-10,3012,
2011-11,3088,
2011-12,3201,
2012-01,3254,
2012-02,3188,
2012-03,3142,
2012-04,3261,
2012-05,3428,
2012-06,3318,
2012-07,3458,
2012-08,3379,
2012-09,3341,
2012-10,3431,
2012-11,3460,
2012-12,3400,
2013-01,3255,
2013-02,3263,
2013-03,3284,
2013-04,3351,
2013-05,3329,
2013-06,3197,
2013-07,3769,
2013-08,3858,
2013-09,3904,
2013-10,4066,
2013-11,4129,
2013-12,4162,
2014-01,4504,
2014-02,4558,
2014-03,4917,
2014-04,5030,
2014-05,5345,
2014-06,5466,
2014-07,5634,
2014-08,5745,
2014-09,6343,
2014-10,6650,
2014-11,6846,
