"",BBK01.OEBM02V,BBK01.OEBM02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:27,
2002-01,0.233,
2002-04,0.244,
2002-07,0.252,
2002-10,0.368,
2003-01,0.275,
2003-04,0.322,
2003-07,0.274,
2003-10,0.342,
2004-01,0.322,
2004-04,0.412,
2004-07,0.373,
2004-10,0.426,
2005-01,0.448,
2005-04,0.478,
2005-07,0.469,
2005-10,0.507,
2006-01,0.489,
2006-04,0.480,
2006-07,0.448,
2006-10,0.485,
2007-01,0.439,
2007-04,0.537,
2007-07,0.419,
2007-10,0.452,
2008-01,0.424,
2008-04,0.364,
2008-07,0.396,
2008-10,1.060,
2009-01,1.827,
2009-04,2.064,
2009-07,2.078,
2009-10,1.865,
2010-01,1.661,
2010-04,1.681,
2010-07,1.936,
2010-10,1.549,
2011-01,1.721,
2011-04,1.719,
2011-07,2.067,
2011-10,1.844,
2012-01,1.717,
2012-04,1.349,
2012-07,1.264,
2012-10,1.513,
2013-01,1.321,
2013-04,1.160,
2013-07,0.895,
2013-10,0.710,
2014-01,0.713,
2014-04,0.913,
2014-07,1.174,
