"",BBK01.OEAC49R,BBK01.OEAC49R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:53,
2002-01,0.543,
2002-04,0.541,
2002-07,0.539,
2002-10,0.533,
2003-01,0.511,
2003-04,0.497,
2003-07,0.501,
2003-10,0.484,
2004-01,0.464,
2004-04,0.458,
2004-07,0.443,
2004-10,0.437,
2005-01,0.413,
2005-04,0.406,
2005-07,0.394,
2005-10,0.388,
2006-01,0.382,
2006-04,0.376,
2006-07,0.368,
2006-10,0.386,
2007-01,0.370,
2007-04,0.367,
2007-07,0.350,
2007-10,0.349,
2008-01,0.340,
2008-04,0.334,
2008-07,0.330,
2008-10,0.334,
2009-01,0.334,
2009-04,0.343,
2009-07,0.345,
2009-10,0.324,
2010-01,0.340,
2010-04,0.338,
2010-07,0.338,
2010-10,0.337,
2011-01,0.336,
2011-04,0.337,
2011-07,0.337,
2011-10,0.341,
2012-01,0.337,
2012-04,0.342,
2012-07,0.339,
2012-10,0.346,
2013-01,0.350,
2013-04,0.357,
2013-07,0.361,
2013-10,0.375,
2014-01,0.374,
2014-04,0.379,
2014-07,0.378,
