"",BBK01.OEHJ03N,BBK01.OEHJ03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:27,
2002-01,6.166,
2002-04,6.462,
2002-07,6.649,
2002-10,7.034,
2003-01,6.851,
2003-04,6.518,
2003-07,6.255,
2003-10,6.826,
2004-01,6.592,
2004-04,6.592,
2004-07,6.835,
2004-10,6.847,
2005-01,6.724,
2005-04,6.960,
2005-07,6.766,
2005-10,7.101,
2006-01,7.462,
2006-04,7.734,
2006-07,8.601,
2006-10,8.613,
2007-01,8.838,
2007-04,9.120,
2007-07,10.335,
2007-10,10.013,
2008-01,10.339,
2008-04,10.788,
2008-07,11.727,
2008-10,11.869,
2009-01,10.884,
2009-04,10.799,
2009-07,10.321,
2009-10,9.953,
2010-01,9.800,
2010-04,9.454,
2010-07,9.893,
2010-10,10.321,
2011-01,11.318,
2011-04,11.731,
2011-07,12.517,
2011-10,12.486,
2012-01,12.484,
2012-04,12.491,
2012-07,10.920,
2012-10,9.810,
2013-01,10.479,
2013-04,10.352,
2013-07,9.835,
2013-10,9.666,
2014-01,9.774,
2014-04,9.343,
2014-07,9.363,
