"",BBK01.OEHB20T,BBK01.OEHB20T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:27,
2002-01,3.647,
2002-04,3.680,
2002-07,3.689,
2002-10,3.741,
2003-01,3.657,
2003-04,3.702,
2003-07,3.726,
2003-10,3.767,
2004-01,3.722,
2004-04,3.732,
2004-07,3.735,
2004-10,3.733,
2005-01,3.689,
2005-04,3.656,
2005-07,3.638,
2005-10,3.639,
2006-01,3.605,
2006-04,3.596,
2006-07,3.584,
2006-10,3.581,
2007-01,3.545,
2007-04,3.521,
2007-07,3.503,
2007-10,3.470,
2008-01,3.425,
2008-04,3.411,
2008-07,3.390,
2008-10,3.359,
2009-01,3.322,
2009-04,3.286,
2009-07,3.303,
2009-10,3.303,
2010-01,3.265,
2010-04,3.285,
2010-07,3.286,
2010-10,3.285,
2011-01,3.260,
2011-04,3.267,
2011-07,3.281,
2011-10,3.272,
2012-01,3.258,
2012-04,3.264,
2012-07,3.307,
2012-10,3.337,
2013-01,3.336,
2013-04,3.371,
2013-07,3.412,
2013-10,3.439,
2014-01,3.437,
2014-04,3.470,
2014-07,3.511,
