"",BBK01.CEHO01,BBK01.CEHO01_FLAGS
"",Other deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:17,
1991-01,2.2,
1991-04,1.1,
1991-07,0.4,
1991-10,3.9,
1992-01,2.1,
1992-04,5.4,
1992-07,-0.3,
1992-10,5.5,
1993-01,3.6,
1993-04,-1.7,
1993-07,4.8,
1993-10,4.3,
1994-01,1.1,
1994-04,-2.7,
1994-07,-1.8,
1994-10,16.3,
1995-01,0.7,
1995-04,-1.3,
1995-07,-0.2,
1995-10,-4.6,
1996-01,-10.1,
1996-04,-6.3,
1996-07,1.2,
1996-10,15.6,
1997-01,-0.5,
1997-04,-7.5,
1997-07,2.4,
1997-10,-4.4,
1998-01,2.7,
1998-04,0.1,
1998-07,-5.4,
1998-10,-4.9,
1999-01,-2.6,
1999-04,-0.3,
1999-07,3.5,
1999-10,0.4,
2000-01,10.0,
2000-04,-2.2,
2000-07,0.5,
2000-10,-11.4,
2001-01,7.3,
2001-04,-6.1,
2001-07,1.0,
2001-10,13.8,
2002-01,-9.3,
2002-04,3.4,
2002-07,7.9,
2002-10,7.2,
2003-01,2.6,
2003-04,-0.7,
2003-07,7.7,
2003-10,3.8,
2004-01,-4.1,
2004-04,-5.0,
2004-07,14.3,
2004-10,7.4,
2005-01,-6.7,
2005-04,5.9,
2005-07,6.5,
2005-10,-0.8,
2006-01,0.6,
2006-04,8.1,
2006-07,-5.4,
2006-10,3.3,
2007-01,-1.5,
2007-04,2.6,
2007-07,19.4,
2007-10,8.3,
2008-01,-1.7,
2008-04,-4.5,
2008-07,5.1,
2008-10,-12.6,
2009-01,-6.4,
2009-04,-7.0,
2009-07,-5.4,
2009-10,-20.5,
2010-01,6.4,
2010-04,-22.1,
2010-07,19.7,
2010-10,7.8,
2011-01,8.2,
2011-04,-13.7,
2011-07,-23.8,
2011-10,5.1,
2012-01,-16.0,
2012-04,-25.3,
2012-07,-14.3,
2012-10,4.8,
2013-01,-17.8,
2013-04,-24.0,
2013-07,29.5,
2013-10,4.1,
2014-01,-21.6,
