"",BBK01.OEXB06U,BBK01.OEXB06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:23,
2002-01,0.487,
2002-04,0.520,
2002-07,0.546,
2002-10,0.542,
2003-01,0.571,
2003-04,0.563,
2003-07,0.532,
2003-10,0.490,
2004-01,0.524,
2004-04,0.516,
2004-07,0.545,
2004-10,0.491,
2005-01,0.490,
2005-04,0.480,
2005-07,0.484,
2005-10,0.450,
2006-01,0.455,
2006-04,0.442,
2006-07,0.424,
2006-10,0.421,
2007-01,0.427,
2007-04,0.573,
2007-07,0.484,
2007-10,0.428,
2008-01,0.473,
2008-04,0.480,
2008-07,0.403,
2008-10,0.400,
2009-01,0.382,
2009-04,0.387,
2009-07,0.391,
2009-10,0.349,
2010-01,0.348,
2010-04,0.387,
2010-07,0.305,
2010-10,0.258,
2011-01,0.259,
2011-04,0.261,
2011-07,0.272,
2011-10,0.230,
2012-01,0.229,
2012-04,0.249,
2012-07,0.259,
2012-10,0.238,
2013-01,0.239,
2013-04,0.264,
2013-07,0.248,
2013-10,0.218,
2014-01,0.242,
2014-04,0.272,
2014-07,0.265,
