"",BBK01.OELB13P,BBK01.OELB13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:48,
2002-01,1.125,
2002-04,1.132,
2002-07,1.116,
2002-10,1.108,
2003-01,1.097,
2003-04,1.086,
2003-07,1.062,
2003-10,1.056,
2004-01,1.037,
2004-04,1.030,
2004-07,1.017,
2004-10,1.004,
2005-01,0.990,
2005-04,0.976,
2005-07,0.976,
2005-10,0.969,
2006-01,0.960,
2006-04,0.957,
2006-07,0.947,
2006-10,0.943,
2007-01,0.921,
2007-04,0.925,
2007-07,0.918,
2007-10,0.963,
2008-01,0.953,
2008-04,0.968,
2008-07,0.975,
2008-10,0.971,
2009-01,0.965,
2009-04,0.961,
2009-07,0.964,
2009-10,0.971,
2010-01,0.979,
2010-04,0.999,
2010-07,1.006,
2010-10,1.013,
2011-01,1.005,
2011-04,1.010,
2011-07,1.010,
2011-10,1.016,
2012-01,1.016,
2012-04,1.378,
2012-07,1.380,
2012-10,1.379,
2013-01,1.368,
2013-04,1.366,
2013-07,1.223,
2013-10,1.220,
2014-01,1.214,
2014-04,1.211,
2014-07,1.198,
