"",BBK01.PC3811,BBK01.PC3811_FLAGS
"","Lending to manufacture of wood, paper, wood and paper products; printing and publishing; manufacture of furniture, etc.; recycling / Total / Foreign banks",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:30:47,
1985-10,0.214,
1986-01,0.229,
1986-04,0.260,
1986-07,0.251,
1986-10,0.208,
1987-01,0.239,
1987-04,0.221,
1987-07,0.251,
1987-10,0.206,
1988-01,0.237,
1988-04,0.306,
1988-07,0.277,
1988-10,0.264,
1989-01,0.298,
1989-04,0.347,
1989-07,0.335,
1989-10,0.314,
1990-01,0.368,
1990-04,0.333,
1990-07,0.386,
1990-10,0.351,
1991-01,0.384,
1991-04,0.373,
1991-07,0.398,
1991-10,0.387,
1992-01,0.431,
1992-04,0.468,
1992-07,0.499,
1992-10,0.640,
1993-01,0.643,
1993-04,0.658,
1993-07,0.649,
1993-10,0.604,
1994-01,0.587,
1994-04,0.639,
1994-07,0.719,
1994-10,0.704,
1995-01,0.912,
1995-04,0.882,
1995-07,0.895,
1995-10,0.790,
1996-01,0.853,
1996-04,0.888,
1996-07,0.821,
1996-10,0.853,
1997-01,0.879,
1997-04,0.907,
1997-07,0.924,
1997-10,0.944,
1998-01,0.960,
1998-04,0.969,
1998-07,0.986,
1998-10,0.864,
1999-01,0.671,
1999-04,0.696,
1999-07,0.680,
1999-10,0.628,
2000-01,0.760,
2000-04,0.740,
2000-07,0.648,
2000-10,0.606,
2001-01,0.634,
2001-04,0.797,
2001-07,0.781,
2001-10,0.710,
2002-01,0.732,
2002-04,0.780,
2002-07,0.761,
2002-10,0.934,
2003-01,1.009,
2003-04,0.797,
2003-07,0.808,
2003-10,0.762,
2004-01,0.718,
2004-04,0.799,
2004-07,0.829,
2004-10,0.892,
2005-01,0.919,
2005-04,0.931,
2005-07,0.986,
2005-10,2.061,
2006-01,2.187,
2006-04,2.209,
2006-07,2.205,
2006-10,2.240,
2007-01,2.009,
2007-04,2.236,
2007-07,2.455,
2007-10,2.542,
2008-01,2.461,
2008-04,2.424,
2008-07,2.498,
2008-10,2.250,
2009-01,2.102,
2009-04,2.126,
2009-07,2.150,
2009-10,2.127,
2010-01,2.073,
2010-04,2.175,
2010-07,2.203,
2010-10,2.111,
2011-01,2.116,
2011-04,2.065,
2011-07,2.080,
2011-10,1.995,
2012-01,2.080,
2012-04,1.862,
2012-07,1.878,
2012-10,1.733,
2013-01,1.798,
2013-04,1.725,
2013-07,1.669,
2013-10,1.613,
2014-01,1.605,
2014-04,1.576,
2014-07,1.508,
2014-10,1.313,
