"",BBK01.OELM01R,BBK01.OELM01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:30,
2002-01,0.019,
2002-04,0.044,
2002-07,0.030,
2002-10,0.021,
2003-01,0.024,
2003-04,0.021,
2003-07,0.020,
2003-10,0.019,
2004-01,0.025,
2004-04,0.030,
2004-07,0.044,
2004-10,0.034,
2005-01,0.029,
2005-04,0.039,
2005-07,0.043,
2005-10,0.043,
2006-01,0.043,
2006-04,0.050,
2006-07,0.050,
2006-10,0.042,
2007-01,0.046,
2007-04,0.046,
2007-07,0.055,
2007-10,0.032,
2008-01,0.030,
2008-04,0.030,
2008-07,0.038,
2008-10,0.040,
2009-01,0.033,
2009-04,0.036,
2009-07,0.036,
2009-10,0.051,
2010-01,0.055,
2010-04,0.046,
2010-07,0.041,
2010-10,0.044,
2011-01,0.043,
2011-04,0.041,
2011-07,0.038,
2011-10,0.040,
2012-01,0.049,
2012-04,0.046,
2012-07,0.040,
2012-10,0.037,
2013-01,0.035,
2013-04,0.040,
2013-07,0.042,
2013-10,0.044,
2014-01,0.040,
2014-04,0.039,
2014-07,0.038,
