"",BBK01.OEAH63M,BBK01.OEAH63M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:59,
2002-01,17.264,
2002-04,17.268,
2002-07,17.305,
2002-10,17.936,
2003-01,18.143,
2003-04,18.218,
2003-07,18.402,
2003-10,19.082,
2004-01,19.323,
2004-04,19.577,
2004-07,19.639,
2004-10,20.316,
2005-01,20.910,
2005-04,20.923,
2005-07,21.575,
2005-10,22.141,
2006-01,22.345,
2006-04,22.345,
2006-07,22.160,
2006-10,22.429,
2007-01,22.431,
2007-04,22.327,
2007-07,22.377,
2007-10,22.621,
2008-01,22.391,
2008-04,22.149,
2008-07,21.625,
2008-10,21.613,
2009-01,21.440,
2009-04,21.550,
2009-07,21.580,
2009-10,22.187,
2010-01,22.486,
2010-04,22.689,
2010-07,22.784,
2010-10,23.272,
2011-01,23.480,
2011-04,23.608,
2011-07,23.602,
2011-10,24.014,
2012-01,24.087,
2012-04,24.062,
2012-07,23.905,
2012-10,24.297,
2013-01,24.249,
2013-04,24.218,
2013-07,24.225,
2013-10,24.549,
2014-01,24.628,
2014-04,24.590,
2014-07,24.480,
