"",BBK01.OEAC41V,BBK01.OEAC41V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:03,
2002-01,0.179,
2002-04,0.186,
2002-07,0.186,
2002-10,0.180,
2003-01,0.194,
2003-04,0.194,
2003-07,0.195,
2003-10,0.186,
2004-01,0.213,
2004-04,0.212,
2004-07,0.211,
2004-10,0.200,
2005-01,0.206,
2005-04,0.167,
2005-07,0.159,
2005-10,0.159,
2006-01,0.152,
2006-04,0.151,
2006-07,0.148,
2006-10,0.140,
2007-01,0.144,
2007-04,0.141,
2007-07,0.142,
2007-10,0.078,
2008-01,0.075,
2008-04,0.078,
2008-07,0.075,
2008-10,0.070,
2009-01,0.071,
2009-04,0.163,
2009-07,0.162,
2009-10,0.164,
2010-01,0.070,
2010-04,0.082,
2010-07,0.070,
2010-10,0.067,
2011-01,0.078,
2011-04,0.075,
2011-07,0.085,
2011-10,0.085,
2012-01,0.099,
2012-04,0.106,
2012-07,0.127,
2012-10,0.133,
2013-01,0.139,
2013-04,0.142,
2013-07,0.139,
2013-10,0.149,
2014-01,0.153,
2014-04,0.144,
2014-07,0.151,
