"",BBK01.OEAH87I,BBK01.OEAH87I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:51,
2002-01,1.717,
2002-04,1.949,
2002-07,2.232,
2002-10,2.344,
2003-01,2.039,
2003-04,1.964,
2003-07,1.928,
2003-10,2.176,
2004-01,2.321,
2004-04,1.802,
2004-07,1.882,
2004-10,1.831,
2005-01,2.255,
2005-04,1.808,
2005-07,1.710,
2005-10,1.914,
2006-01,2.762,
2006-04,2.175,
2006-07,2.200,
2006-10,2.234,
2007-01,2.022,
2007-04,2.262,
2007-07,2.294,
2007-10,2.975,
2008-01,2.352,
2008-04,2.687,
2008-07,2.248,
2008-10,2.117,
2009-01,2.559,
2009-04,1.390,
2009-07,1.792,
2009-10,2.262,
2010-01,1.573,
2010-04,1.412,
2010-07,2.585,
2010-10,3.102,
2011-01,1.886,
2011-04,2.959,
2011-07,3.091,
2011-10,3.534,
2012-01,3.118,
2012-04,4.403,
2012-07,2.700,
2012-10,2.353,
2013-01,2.406,
2013-04,2.264,
2013-07,2.373,
2013-10,2.128,
2014-01,2.514,
2014-04,2.127,
2014-07,2.206,
