"",BBK01.OECB04L,BBK01.OECB04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:25,
2002-01,16.903,
2002-04,16.060,
2002-07,15.812,
2002-10,15.326,
2003-01,14.747,
2003-04,17.074,
2003-07,16.653,
2003-10,16.282,
2004-01,16.312,
2004-04,16.206,
2004-07,19.098,
2004-10,18.901,
2005-01,21.551,
2005-04,22.428,
2005-07,22.963,
2005-10,23.888,
2006-01,25.222,
2006-04,23.690,
2006-07,24.538,
2006-10,22.497,
2007-01,21.878,
2007-04,21.927,
2007-07,22.347,
2007-10,23.872,
2008-01,23.721,
2008-04,23.464,
2008-07,23.477,
2008-10,22.719,
2009-01,20.136,
2009-04,23.405,
2009-07,22.501,
2009-10,22.389,
2010-01,22.424,
2010-04,22.434,
2010-07,23.976,
2010-10,21.045,
2011-01,21.868,
2011-04,22.218,
2011-07,22.142,
2011-10,21.831,
2012-01,21.376,
2012-04,21.073,
2012-07,20.623,
2012-10,20.511,
2013-01,20.486,
2013-04,21.380,
2013-07,20.839,
2013-10,20.842,
2014-01,21.735,
2014-04,21.810,
2014-07,23.523,
