"",BBK01.OEBB23H,BBK01.OEBB23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:49,
2002-01,2.064,
2002-04,1.814,
2002-07,1.393,
2002-10,1.344,
2003-01,1.381,
2003-04,1.220,
2003-07,1.938,
2003-10,1.878,
2004-01,1.108,
2004-04,1.121,
2004-07,1.140,
2004-10,1.041,
2005-01,1.082,
2005-04,1.023,
2005-07,1.025,
2005-10,0.979,
2006-01,0.881,
2006-04,0.729,
2006-07,0.674,
2006-10,0.669,
2007-01,0.722,
2007-04,0.891,
2007-07,0.644,
2007-10,0.584,
2008-01,0.499,
2008-04,0.429,
2008-07,0.360,
2008-10,0.355,
2009-01,0.358,
2009-04,0.223,
2009-07,0.207,
2009-10,0.216,
2010-01,0.118,
2010-04,0.114,
2010-07,0.122,
2010-10,0.124,
2011-01,0.074,
2011-04,0.132,
2011-07,0.159,
2011-10,0.197,
2012-01,0.129,
2012-04,0.112,
2012-07,0.100,
2012-10,0.094,
2013-01,0.093,
2013-04,0.094,
2013-07,0.096,
2013-10,0.085,
2014-01,0.079,
2014-04,0.077,
2014-07,0.081,
