"",BBAI3.Q.DE.N.V.LE.F4.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:51,
2005-10,92,
2006-01,80,
2006-04,75,
2006-07,83,
2006-10,113,
2007-01,107,
2007-04,115,
2007-07,112,
2007-10,156,
2008-01,134,
2008-04,89,
2008-07,105,
2008-10,145,
2009-01,139,
2009-04,160,
2009-07,176,
2009-10,182,
2010-01,174,
2010-04,169,
2010-07,173,
2010-10,195,
2011-01,181,
2011-04,184,
2011-07,193,
2011-10,199,
2012-01,184,
2012-04,187,
2012-07,177,
2012-10,187,
2013-01,192,
2013-04,178,
2013-07,179,
2013-10,195,
2014-01,187,
2014-04,190,
2014-07,195,
