"",BBK01.OEAC53O,BBK01.OEAC53O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:21,
2002-01,1.255,
2002-04,1.238,
2002-07,1.401,
2002-10,1.408,
2003-01,1.439,
2003-04,1.692,
2003-07,1.713,
2003-10,2.232,
2004-01,2.091,
2004-04,2.336,
2004-07,2.311,
2004-10,2.403,
2005-01,2.494,
2005-04,2.951,
2005-07,3.131,
2005-10,3.140,
2006-01,3.083,
2006-04,3.172,
2006-07,3.121,
2006-10,3.332,
2007-01,2.875,
2007-04,2.909,
2007-07,2.846,
2007-10,2.738,
2008-01,2.670,
2008-04,2.683,
2008-07,2.686,
2008-10,2.464,
2009-01,2.328,
2009-04,2.798,
2009-07,2.838,
2009-10,2.763,
2010-01,3.216,
2010-04,2.635,
2010-07,2.340,
2010-10,2.285,
2011-01,2.155,
2011-04,2.355,
2011-07,2.422,
2011-10,2.467,
2012-01,2.424,
2012-04,2.240,
2012-07,2.173,
2012-10,2.117,
2013-01,2.117,
2013-04,2.125,
2013-07,2.848,
2013-10,3.233,
2014-01,3.725,
2014-04,3.617,
2014-07,3.548,
