"",BBK01.OECK04K,BBK01.OECK04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:58,
2002-01,0.289,
2002-04,0.270,
2002-07,0.323,
2002-10,0.360,
2003-01,0.264,
2003-04,0.235,
2003-07,0.199,
2003-10,0.167,
2004-01,0.169,
2004-04,0.199,
2004-07,0.187,
2004-10,0.818,
2005-01,0.734,
2005-04,0.708,
2005-07,0.704,
2005-10,0.473,
2006-01,0.456,
2006-04,0.419,
2006-07,0.547,
2006-10,0.467,
2007-01,0.491,
2007-04,0.583,
2007-07,0.644,
2007-10,0.725,
2008-01,0.750,
2008-04,0.756,
2008-07,0.828,
2008-10,0.667,
2009-01,0.504,
2009-04,0.715,
2009-07,0.642,
2009-10,0.520,
2010-01,0.445,
2010-04,0.407,
2010-07,0.435,
2010-10,0.454,
2011-01,0.467,
2011-04,0.448,
2011-07,0.461,
2011-10,0.436,
2012-01,0.417,
2012-04,0.387,
2012-07,0.354,
2012-10,0.290,
2013-01,0.243,
2013-04,0.224,
2013-07,0.221,
2013-10,0.196,
2014-01,0.191,
2014-04,0.176,
2014-07,0.145,
