"",BBK01.OEXL04J,BBK01.OEXL04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:07,
2002-01,0.222,
2002-04,0.207,
2002-07,0.199,
2002-10,0.196,
2003-01,0.183,
2003-04,0.176,
2003-07,0.176,
2003-10,0.169,
2004-01,0.154,
2004-04,0.145,
2004-07,0.140,
2004-10,0.119,
2005-01,0.114,
2005-04,0.109,
2005-07,0.140,
2005-10,0.151,
2006-01,0.154,
2006-04,0.157,
2006-07,0.174,
2006-10,0.204,
2007-01,0.213,
2007-04,0.228,
2007-07,0.238,
2007-10,0.286,
2008-01,0.301,
2008-04,0.329,
2008-07,0.365,
2008-10,0.417,
2009-01,0.339,
2009-04,0.271,
2009-07,0.211,
2009-10,0.175,
2010-01,0.206,
2010-04,0.205,
2010-07,0.180,
2010-10,0.169,
2011-01,0.160,
2011-04,0.160,
2011-07,0.172,
2011-10,0.177,
2012-01,0.175,
2012-04,0.164,
2012-07,0.141,
2012-10,0.125,
2013-01,0.109,
2013-04,0.098,
2013-07,0.090,
2013-10,0.081,
2014-01,0.069,
2014-04,0.071,
2014-07,0.069,
