"",BBK01.OEBJ03V,BBK01.OEBJ03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:21,
2002-01,1.306,
2002-04,1.323,
2002-07,1.430,
2002-10,1.412,
2003-01,1.492,
2003-04,1.287,
2003-07,1.348,
2003-10,1.414,
2004-01,1.275,
2004-04,1.124,
2004-07,1.179,
2004-10,1.136,
2005-01,0.997,
2005-04,0.964,
2005-07,0.982,
2005-10,1.086,
2006-01,1.083,
2006-04,1.111,
2006-07,1.268,
2006-10,1.457,
2007-01,1.624,
2007-04,1.658,
2007-07,1.788,
2007-10,1.865,
2008-01,1.945,
2008-04,2.115,
2008-07,2.346,
2008-10,2.072,
2009-01,1.636,
2009-04,1.458,
2009-07,1.226,
2009-10,1.162,
2010-01,1.298,
2010-04,1.272,
2010-07,1.233,
2010-10,1.143,
2011-01,1.436,
2011-04,1.397,
2011-07,1.411,
2011-10,1.828,
2012-01,1.973,
2012-04,2.077,
2012-07,2.052,
2012-10,1.920,
2013-01,1.843,
2013-04,1.815,
2013-07,1.817,
2013-10,1.815,
2014-01,1.872,
2014-04,1.969,
2014-07,1.799,
