"",BBK01.OEXL02P,BBK01.OEXL02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:56,
2002-01,0.210,
2002-04,0.198,
2002-07,0.196,
2002-10,0.193,
2003-01,0.195,
2003-04,0.193,
2003-07,0.201,
2003-10,0.221,
2004-01,0.240,
2004-04,0.258,
2004-07,0.253,
2004-10,0.272,
2005-01,0.275,
2005-04,0.281,
2005-07,0.291,
2005-10,0.311,
2006-01,0.319,
2006-04,0.318,
2006-07,0.287,
2006-10,0.277,
2007-01,0.271,
2007-04,0.290,
2007-07,0.316,
2007-10,0.275,
2008-01,0.278,
2008-04,0.280,
2008-07,0.315,
2008-10,0.261,
2009-01,0.281,
2009-04,0.333,
2009-07,0.350,
2009-10,0.391,
2010-01,0.421,
2010-04,0.419,
2010-07,0.417,
2010-10,0.414,
2011-01,0.395,
2011-04,0.405,
2011-07,0.414,
2011-10,0.416,
2012-01,0.421,
2012-04,0.415,
2012-07,0.418,
2012-10,0.429,
2013-01,0.451,
2013-04,0.477,
2013-07,0.480,
2013-10,0.482,
2014-01,0.473,
2014-04,0.479,
2014-07,0.475,
