"",BBK01.OEBM04U,BBK01.OEBM04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:41,
2002-01,0.320,
2002-04,0.332,
2002-07,0.304,
2002-10,0.239,
2003-01,0.253,
2003-04,0.246,
2003-07,0.226,
2003-10,0.216,
2004-01,0.244,
2004-04,0.195,
2004-07,0.206,
2004-10,0.193,
2005-01,0.176,
2005-04,0.184,
2005-07,0.240,
2005-10,0.195,
2006-01,0.264,
2006-04,0.274,
2006-07,0.353,
2006-10,0.423,
2007-01,0.437,
2007-04,0.483,
2007-07,0.554,
2007-10,0.605,
2008-01,0.551,
2008-04,0.607,
2008-07,0.640,
2008-10,0.482,
2009-01,0.229,
2009-04,0.171,
2009-07,0.136,
2009-10,0.061,
2010-01,0.072,
2010-04,0.062,
2010-07,0.069,
2010-10,0.068,
2011-01,0.078,
2011-04,0.117,
2011-07,0.150,
2011-10,0.306,
2012-01,0.383,
2012-04,0.438,
2012-07,0.444,
2012-10,0.439,
2013-01,0.429,
2013-04,0.428,
2013-07,0.418,
2013-10,0.332,
2014-01,0.384,
2014-04,0.377,
2014-07,0.346,
