"",BBK01.OELI09I,BBK01.OELI09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:17,
2002-01,0.483,
2002-04,0.424,
2002-07,0.399,
2002-10,0.357,
2003-01,0.344,
2003-04,0.328,
2003-07,0.217,
2003-10,0.213,
2004-01,0.166,
2004-04,0.163,
2004-07,0.164,
2004-10,0.201,
2005-01,0.244,
2005-04,0.227,
2005-07,0.175,
2005-10,0.128,
2006-01,0.136,
2006-04,0.158,
2006-07,0.168,
2006-10,0.192,
2007-01,0.186,
2007-04,0.150,
2007-07,0.126,
2007-10,0.113,
2008-01,0.094,
2008-04,0.083,
2008-07,0.097,
2008-10,0.087,
2009-01,0.092,
2009-04,0.092,
2009-07,0.089,
2009-10,0.120,
2010-01,0.202,
2010-04,0.238,
2010-07,0.198,
2010-10,0.189,
2011-01,0.187,
2011-04,0.191,
2011-07,0.179,
2011-10,0.159,
2012-01,0.124,
2012-04,0.106,
2012-07,0.084,
2012-10,0.102,
2013-01,0.149,
2013-04,0.155,
2013-07,0.138,
2013-10,0.134,
2014-01,0.152,
2014-04,0.176,
2014-07,0.177,
