"",BBEX3.M.BYR.EUR.CA.AC.A01,BBEX3.M.BYR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Belarus / EUR 1 = BYR ... (middle),
unit,BYR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:33,
2000-01,353.20,
2000-02,396.18,
2000-03,415.47,
2000-04,437.64,
2000-05,536.14,
2000-06,636.73,
2000-07,722.57,
2000-08,807.53,
2000-09,914.61,
2000-10,895.68,
2000-11,958.76,
2000-12,1101.00,
2001-01,1108.24,
2001-02,1134.29,
2001-03,1145.53,
2001-04,1201.16,
2001-05,1153.15,
2001-06,1181.90,
2001-07,1238.69,
2001-08,1306.13,
2001-09,1352.17,
2001-10,1358.79,
2001-11,1361.75,
2001-12,1414.57,
2002-01,1417.61,
2002-02,1450.66,
2002-03,1488.66,
2002-04,1543.11,
2002-05,1644.02,
2002-06,1732.98,
2002-07,1795.62,
2002-08,1786.88,
2002-09,1829.75,
2002-10,1832.22,
2002-11,1891.79,
2002-12,1988.83,
2003-01,1988.83,
2003-02,2128.38,
2003-03,2141.31,
2003-04,2218.05,
2003-05,2401.64,
2003-06,2350.25,
2003-07,2370.99,
2003-08,2269.43,
2003-09,2405.65,
2003-10,2484.33,
2003-11,2551.00,
2003-12,2695.22,
2004-01,2710.27,
2004-02,2666.49,
2004-03,2624.18,
2004-04,2546.68,
2004-05,2640.93,
2004-06,2617.79,
2004-07,2593.79,
2004-08,2599.14,
2004-09,2669.31,
2004-10,2763.62,
2004-11,2881.20,
2004-12,2955.65,
2005-01,2833.37,
2005-02,2853.49,
2005-03,2791.26,
2005-04,2779.31,
2005-05,2690.66,
2005-06,2591.07,
2005-07,2590.17,
2005-08,2628.31,
2005-09,2591.83,
2005-10,2612.11,
2005-11,2539.69,
2005-12,2546.35,
2006-01,2598.28,
2006-02,2547.11,
2006-03,2592.77,
2006-04,2673.25,
2006-05,2752.79,
2006-06,2686.71,
2006-07,2716.81,
2006-08,2747.97,
2006-09,2713.93,
2006-10,2723.46,
2006-11,2817.42,
2006-12,2812.28,
2007-01,2772.37,
2007-02,2829.47,
2007-03,2855.01,
2007-04,2920.85,
2007-05,2883.42,
2007-06,2885.88,
2007-07,2930.71,
2007-08,2926.79,
2007-09,3038.58,
2007-10,3096.58,
2007-11,3174.71,
2007-12,3166.73,
2008-01,3177.81,
2008-02,3242.29,
2008-03,3381.27,
2008-04,3328.56,
2008-05,3327.55,
2008-06,3344.64,
2008-07,3297.95,
2008-08,3117.10,
2008-09,3029.81,
2008-10,2793.16,
2008-11,2783.29,
2008-12,3077.14,
2009-01,3547.88,comment
2009-02,3627.48,
2009-03,3737.75,
2009-04,3728.72,
2009-05,3856.95,
2009-06,3978.61,
2009-07,4005.12,
2009-08,4048.23,
2009-09,4034.33,
2009-10,4044.00,
2009-11,4136.83,
2009-12,4106.11,
2010-01,4048.48,
2010-02,3952.28,
2010-03,4023.87,
2010-04,3908.82,
2010-05,3698.63,
2010-06,3689.81,
2010-07,3876.13,
2010-08,3832.77,
2010-09,4099.62,
2010-10,4172.64,
2010-11,4027.71,
2010-12,3972.60,
2011-01,4121.16,
2011-02,4168.20,
2011-03,4287.66,
2011-04,4475.21,
2011-05,7106.66,comment
2011-06,7152.13,
2011-07,7107.21,
2011-08,7384.61,
2011-09,7638.16,
2011-10,12040.00,comment
2011-11,11480.00,
2011-12,10800.00,
2012-01,11000.00,
2012-02,10840.00,
2012-03,10710.00,
2012-04,10670.00,
2012-05,10410.00,
2012-06,10370.00,
2012-07,10130.00,
2012-08,10550.00,
2012-09,10990.00,
2012-10,11030.00,
2012-11,11110.00,
2012-12,11340.00,
2013-01,11660.00,
2013-02,11290.00,
2013-03,11110.00,
2013-04,11320.00,
2013-05,11250.00,
2013-06,11450.00,
2013-07,11780.00,
2013-08,11920.00,
2013-09,12250.00,
2013-10,12660.00,
2013-11,12680.00,
2013-12,13080.00,
2014-01,13140.00,
2014-02,13360.00,
2014-03,13570.00,
2014-04,13840.00,
2014-05,13700.00,
2014-06,13890.00,
2014-07,13820.00,
2014-08,13760.00,
2014-09,13420.00,
2014-10,13480.00,
2014-11,13520.00,
2014-12,14380.00,
2015-01,17340.00,
"","General: A currency conversion took place with effect from 1 January 2000. The former currency, the (old) Belarusian rouble was replaced by the (new) Belarusian rouble at the rate of 1,000:1.",
"","Source: National Bank of Belarus, Minsk.",
"","Comment on 2009-01: On 2 January 2009, the Belarusian rouble was devalued. Calculated using the exchange rates from 31 December 2008 and 2 January 2009 (EUR 1 = BYR 3,703.00) the Belarusian rouble was devalued by 16.9%.",
"","Comment on 2011-05: On 24 May 2011, the Belarusian rouble was devalued. Calculated using the exchange rates from 23 May (EUR 1 = BYR 4,516.38) and 24 May 2011 (EUR 1 = BYR 6,914.82) the Belarusian rouble was devalued by 34.7%.",
"","Comment on 2011-10: On 21 October 2011, the Belarusian rouble was devalued. Calculated using the exchange rates from 20 October (EUR 1 = BYR 7,892.84) and 21 October 2011 (EUR 1 = BYR 11,900.00) the Belarusian rouble was devalued by 33.7%.",
