"",BBFN1.M.DE.N.1.A.W1.S1P.FH.T.BN00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.FH.T.BN00.Z06.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:24,
1974-12,6.825,
1975-01,7.167,
1975-02,6.998,
1975-03,7.338,
1975-04,7.298,
1975-05,7.458,
1975-06,7.520,
1975-07,7.697,
1975-08,7.794,
1975-09,8.087,
1975-10,8.366,
1975-11,8.584,
1975-12,8.572,
1976-01,8.621,
1976-02,8.624,
1976-03,8.780,
1976-04,9.060,
1976-05,9.538,
1976-06,9.714,
1976-07,10.001,
1976-08,10.031,
1976-09,10.236,
1976-10,10.496,
1976-11,10.696,
1976-12,10.517,
1977-01,10.571,
1977-02,10.801,
1977-03,11.157,
1977-04,11.691,
1977-05,12.013,
1977-06,12.048,
1977-07,11.785,
1977-08,12.093,
1977-09,12.018,
1977-10,12.472,
1977-11,12.395,
1977-12,12.121,
1978-01,12.379,
1978-02,12.314,
1978-03,12.631,
1978-04,12.662,
1978-05,13.640,
1978-06,13.422,
1978-07,13.317,
1978-08,13.059,
1978-09,13.804,
1978-10,14.052,
1978-11,14.194,
1978-12,13.925,
1979-01,14.118,
1979-02,14.294,
1979-03,14.976,
1979-04,15.303,
1979-05,15.865,
1979-06,16.188,
1979-07,16.110,
1979-08,15.699,
1979-09,15.677,
1979-10,16.252,
1979-11,16.601,
1979-12,15.960,
1980-01,16.817,
1980-02,17.332,
1980-03,17.892,
1980-04,18.309,
1980-05,18.498,
1980-06,18.191,
1980-07,17.842,
1980-08,17.542,
1980-09,17.634,
1980-10,18.065,
1980-11,18.440,
1980-12,18.250,
1981-01,18.955,
1981-02,19.825,
1981-03,20.174,
1981-04,21.041,
1981-05,21.493,
1981-06,21.566,
1981-07,21.445,
1981-08,22.007,
1981-09,22.459,
1981-10,22.582,
1981-11,22.353,
1981-12,22.006,
1982-01,22.358,
1982-02,23.356,
1982-03,23.470,
1982-04,23.767,
1982-05,24.305,
1982-06,23.807,
1982-07,23.697,
1982-08,23.637,
1982-09,23.912,
1982-10,24.000,
1982-11,24.015,
1982-12,22.839,
1983-01,22.993,
1983-02,23.372,
1983-03,24.004,
1983-04,24.203,
1983-05,24.025,
1983-06,24.264,
1983-07,24.323,
1983-08,24.427,
1983-09,24.918,
1983-10,25.101,
1983-11,25.484,
1983-12,25.258,
1984-01,26.087,
1984-02,26.550,
1984-03,27.146,
1984-04,27.724,
1984-05,27.865,
1984-06,27.618,
1984-07,27.270,
1984-08,27.492,
1984-09,28.818,
1984-10,28.515,
1984-11,29.071,
1984-12,28.837,
1985-01,29.200,
1985-02,29.462,
1985-03,29.962,
1985-04,30.007,
1985-05,30.331,
1985-06,30.101,
1985-07,29.742,
1985-08,30.035,
1985-09,30.103,
1985-10,30.355,
1985-11,30.498,
1985-12,30.089,
1986-01,29.770,
1986-02,29.576,
1986-03,30.513,
1986-04,30.684,
1986-05,31.589,
1986-06,31.912,
1986-07,31.115,
1986-08,30.690,
1986-09,30.076,
1986-10,30.590,
1986-11,31.216,
1986-12,30.066,
1987-01,28.989,
1987-02,29.284,
1987-03,30.040,
1987-04,30.653,
1987-05,31.089,
1987-06,30.868,
1987-07,30.751,
1987-08,30.385,
1987-09,30.668,
1987-10,31.267,
1987-11,30.967,
1987-12,29.967,
1988-01,29.795,
1988-02,30.159,
1988-03,31.244,
1988-04,32.386,
1988-05,32.915,
1988-06,33.585,
1988-07,34.162,
1988-08,34.053,
1988-09,34.872,
1988-10,34.924,
1988-11,35.045,
1988-12,35.367,
1989-01,35.048,
1989-02,35.515,
1989-03,36.962,
1989-04,37.828,
1989-05,38.667,
1989-06,39.743,
1989-07,39.545,
1989-08,40.038,
1989-09,41.268,
1989-10,42.876,
1989-11,42.355,
1989-12,40.188,
1990-01,40.667,
1990-02,41.332,
1990-03,41.340,
1990-04,41.866,
1990-05,41.817,
1990-06,41.162,
1990-07,43.382,
1990-08,42.987,
1990-09,43.557,
1990-10,43.321,
1990-11,43.761,
1990-12,43.130,
1991-01,43.008,
1991-02,44.183,
1991-03,45.427,
1991-04,46.183,
1991-05,45.863,
1991-06,46.476,
1991-07,45.488,
1991-08,44.788,
1991-09,44.761,
1991-10,45.621,
1991-11,45.567,
1991-12,43.476,
1992-01,44.272,
1992-02,44.474,
1992-03,45.627,
1992-04,45.842,
1992-05,46.168,
1992-06,46.158,
1992-07,46.364,
1992-08,45.094,
1992-09,45.073,
1992-10,45.753,
1992-11,45.610,
1992-12,44.220,
1993-01,43.837,
1993-02,45.901,
1993-03,46.747,
1993-04,47.326,
1993-05,48.052,
1993-06,48.052,
1993-07,48.545,
1993-08,48.044,
1993-09,48.169,
1993-10,49.743,
1993-11,50.481,
1993-12,48.792,
1994-01,49.347,
1994-02,50.803,
1994-03,51.847,
1994-04,53.104,
1994-05,53.344,
1994-06,54.468,
1994-07,55.430,
1994-08,55.854,
1994-09,56.201,
1994-10,53.886,
1994-11,55.775,
1994-12,54.268,
1995-01,56.178,
1995-02,57.385,
1995-03,60.921,
1995-04,60.903,
1995-05,61.853,
1995-06,62.145,
1995-07,62.828,
1995-08,62.812,
1995-09,63.767,
1995-10,63.447,
1995-11,64.570,
1995-12,60.675,
1996-01,63.427,
1996-02,66.187,
1996-03,71.276,
1996-04,73.841,
1996-05,78.333,
1996-06,76.614,
1996-07,72.855,
1996-08,72.134,
1996-09,76.580,
1996-10,76.487,
1996-11,79.524,
1996-12,81.918,
1997-01,88.819,
1997-02,93.715,
1997-03,98.037,
1997-04,103.307,
1997-05,103.606,
1997-06,102.142,
1997-07,99.518,
1997-08,92.680,
1997-09,93.918,
1997-10,93.496,
1997-11,92.151,
1997-12,90.641,
1998-01,92.503,
1998-02,100.871,
1998-03,114.119,
1998-04,116.215,
1998-05,124.127,
1998-06,113.047,
1998-07,106.823,
1998-08,101.061,
1998-09,109.668,
1998-10,103.773,
1998-11,110.134,
1998-12,102.096,
1999-01,84.682,
1999-02,88.395,
1999-03,93.288,
1999-04,100.959,
1999-05,106.549,
1999-06,104.180,
1999-07,98.067,
1999-08,98.804,
1999-09,98.874,
1999-10,98.841,
1999-11,105.858,
1999-12,99.231,
2000-01,100.046,
2000-02,105.355,
2000-03,122.413,
2000-04,124.312,
2000-05,129.229,
2000-06,139.160,
2000-07,126.191,
2000-08,124.207,
2000-09,127.165,
2000-10,130.183,
2000-11,124.584,
2000-12,120.036,
2001-01,120.908,
2001-02,128.101,
2001-03,148.451,
2001-04,146.487,
2001-05,142.919,
2001-06,142.666,
2001-07,131.975,
2001-08,133.032,
2001-09,135.077,
2001-10,137.446,
2001-11,122.118,
2001-12,129.184,
2002-01,123.364,
2002-02,130.868,
2002-03,133.239,
2002-04,134.247,
2002-05,120.899,
2002-06,118.221,
2002-07,116.029,
2002-08,112.765,
2002-09,114.793,
2002-10,115.881,
2002-11,113.667,
2002-12,102.026,
2003-01,107.366,
2003-02,108.633,
2003-03,109.452,
2003-04,108.916,
2003-05,103.966,
2003-06,103.128,
2003-07,106.056,
2003-08,107.089,
2003-09,105.616,
2003-10,104.092,
2003-11,104.741,
2003-12,102.300,
2004-01,107.273,
2004-02,104.561,
2004-03,104.408,
2004-04,103.879,
2004-05,104.591,
2004-06,106.111,
2004-07,107.697,
2004-08,107.144,
2004-09,110.768,
2004-10,108.409,
2004-11,105.183,
2004-12,101.399,
2005-01,98.563,
2005-02,100.231,
2005-03,103.460,
2005-04,104.672,
2005-05,107.971,
2005-06,111.928,
2005-07,111.719,
2005-08,111.615,
2005-09,116.059,
2005-10,114.249,
2005-11,116.479,
2005-12,119.292,
2006-01,125.647,
2006-02,127.370,
2006-03,131.035,
2006-04,128.656,
2006-05,128.543,
2006-06,126.716,
2006-07,122.940,
2006-08,121.184,
2006-09,118.356,
2006-10,119.875,
2006-11,118.538,
2006-12,113.833,
2007-01,108.265,
2007-02,107.067,
2007-03,109.059,
2007-04,107.984,
2007-05,111.530,
2007-06,111.567,
2007-07,113.938,
2007-08,113.619,
