"",BBK01.OEAE36T,BBK01.OEAE36T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:16,
2002-01,0.397,
2002-04,0.391,
2002-07,0.381,
2002-10,0.394,
2003-01,0.391,
2003-04,0.399,
2003-07,0.403,
2003-10,0.403,
2004-01,0.418,
2004-04,0.405,
2004-07,0.400,
2004-10,0.392,
2005-01,0.397,
2005-04,0.402,
2005-07,0.405,
2005-10,0.404,
2006-01,0.385,
2006-04,0.388,
2006-07,0.394,
2006-10,0.428,
2007-01,0.427,
2007-04,0.429,
2007-07,0.456,
2007-10,0.496,
2008-01,0.499,
2008-04,0.512,
2008-07,0.530,
2008-10,0.555,
2009-01,0.412,
2009-04,0.390,
2009-07,0.326,
2009-10,0.303,
2010-01,0.328,
2010-04,0.363,
2010-07,0.375,
2010-10,0.381,
2011-01,0.358,
2011-04,0.369,
2011-07,0.387,
2011-10,0.370,
2012-01,0.380,
2012-04,0.375,
2012-07,0.375,
2012-10,0.384,
2013-01,0.378,
2013-04,0.366,
2013-07,0.361,
2013-10,0.382,
2014-01,0.377,
2014-04,0.332,
2014-07,0.320,
