"",BBK01.OELL01M,BBK01.OELL01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:40,
2002-01,26.385,
2002-04,26.182,
2002-07,26.045,
2002-10,26.570,
2003-01,26.740,
2003-04,26.518,
2003-07,26.361,
2003-10,26.678,
2004-01,26.789,
2004-04,26.748,
2004-07,26.467,
2004-10,26.955,
2005-01,27.026,
2005-04,26.912,
2005-07,26.849,
2005-10,27.177,
2006-01,27.411,
2006-04,27.323,
2006-07,27.179,
2006-10,27.316,
2007-01,27.271,
2007-04,27.301,
2007-07,27.318,
2007-10,27.780,
2008-01,27.661,
2008-04,27.636,
2008-07,27.113,
2008-10,28.450,
2009-01,28.517,
2009-04,28.669,
2009-07,28.667,
2009-10,29.321,
2010-01,29.784,
2010-04,30.010,
2010-07,29.946,
2010-10,30.377,
2011-01,30.439,
2011-04,30.626,
2011-07,30.660,
2011-10,31.247,
2012-01,31.307,
2012-04,31.474,
2012-07,31.496,
2012-10,31.903,
2013-01,32.074,
2013-04,32.211,
2013-07,32.227,
2013-10,32.834,
2014-01,32.922,
2014-04,33.169,
2014-07,33.210,
