"",BBFN1.M.DE.N.1.L.A1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.A1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:23,
1995-01,4.193,
1995-02,4.001,
1995-03,4.341,
1995-04,4.210,
1995-05,4.285,
1995-06,4.328,
1995-07,4.179,
1995-08,4.133,
1995-09,4.382,
1995-10,4.552,
1995-11,4.612,
1995-12,4.802,
1996-01,4.766,
1996-02,4.469,
1996-03,4.429,
1996-04,4.626,
1996-05,4.766,
1996-06,4.805,
1996-07,4.872,
1996-08,4.545,
1996-09,4.773,
1996-10,4.801,
1996-11,4.760,
1996-12,5.767,
1997-01,5.484,
1997-02,5.332,
1997-03,5.718,
1997-04,6.054,
1997-05,5.262,
1997-06,5.756,
1997-07,5.614,
1997-08,5.539,
1997-09,5.657,
1997-10,5.629,
1997-11,5.811,
1997-12,6.745,
1998-01,6.289,
1998-02,6.133,
1998-03,6.446,
1998-04,6.444,
1998-05,6.219,
1998-06,7.059,
1998-07,6.146,
1998-08,6.105,
1998-09,6.693,
1998-10,6.614,
1998-11,6.408,
1998-12,6.788,
1999-01,6.408,
1999-02,6.355,
1999-03,6.671,
1999-04,7.133,
1999-05,6.758,
1999-06,6.899,
1999-07,6.830,
1999-08,6.982,
1999-09,6.860,
1999-10,7.146,
1999-11,7.435,
1999-12,8.071,
2000-01,8.096,
2000-02,7.816,
2000-03,8.482,
2000-04,8.326,
2000-05,8.805,
2000-06,9.070,
2000-07,9.511,
2000-08,9.258,
2000-09,9.477,
2000-10,9.796,
2000-11,10.405,
2000-12,10.197,
2001-01,9.502,
2001-02,9.373,
2001-03,9.832,
2001-04,9.607,
2001-05,9.533,
2001-06,10.129,
2001-07,9.323,
2001-08,9.262,
2001-09,9.594,
2001-10,9.582,
2001-11,9.533,
2001-12,11.143,
2002-01,10.015,
2002-02,9.485,
2002-03,9.992,
2002-04,9.316,
2002-05,9.408,
2002-06,9.431,
2002-07,9.479,
2002-08,9.241,
2002-09,9.841,
2002-10,9.426,
2002-11,9.718,
2002-12,10.571,
2003-01,9.817,
2003-02,9.703,
2003-03,10.358,
2003-04,9.847,
2003-05,8.796,
2003-06,9.168,
2003-07,8.934,
2003-08,8.766,
2003-09,8.924,
2003-10,9.202,
2003-11,8.845,
2003-12,9.197,
2004-01,7.962,
2004-02,7.859,
2004-03,8.904,
2004-04,8.637,
2004-05,7.944,
2004-06,8.309,
2004-07,8.127,
2004-08,7.728,
2004-09,8.292,
2004-10,7.812,
2004-11,7.677,
2004-12,8.405,
2005-01,7.317,
2005-02,7.196,
2005-03,8.142,
2005-04,7.520,
2005-05,7.821,
2005-06,8.598,
2005-07,8.186,
2005-08,8.351,
2005-09,8.526,
2005-10,8.444,
2005-11,9.460,
2005-12,9.714,
2006-01,8.660,
2006-02,8.431,
2006-03,9.200,
2006-04,8.769,
2006-05,8.882,
2006-06,9.464,
2006-07,8.757,
2006-08,8.633,
2006-09,9.260,
2006-10,9.551,
2006-11,9.346,
2006-12,9.839,
2007-01,9.352,
2007-02,9.041,
2007-03,9.722,
2007-04,9.186,
2007-05,9.125,
2007-06,9.958,
2007-07,9.224,
2007-08,9.324,
2007-09,9.656,
2007-10,10.039,
2007-11,10.335,
2007-12,10.720,
2008-01,9.660,
2008-02,10.355,
2008-03,10.148,
2008-04,10.103,
2008-05,10.231,
2008-06,10.517,
2008-07,10.375,
2008-08,10.171,
2008-09,10.303,
2008-10,10.445,
2008-11,10.340,
2008-12,11.005,
2009-01,8.989,
2009-02,9.252,
2009-03,9.265,
2009-04,8.943,
2009-05,8.774,
2009-06,9.274,
2009-07,8.678,
2009-08,9.156,
2009-09,9.123,
2009-10,8.832,
2009-11,9.113,
2009-12,9.428,
2010-01,9.351,
2010-02,9.319,
2010-03,10.116,
2010-04,9.636,
2010-05,10.484,
2010-06,11.017,
2010-07,10.524,
2010-08,10.472,
2010-09,11.096,
2010-10,10.633,
2010-11,10.997,
2010-12,11.845,
2011-01,11.089,
2011-02,11.112,
2011-03,10.855,
2011-04,10.986,
2011-05,9.806,
2011-06,10.024,
2011-07,9.471,
2011-08,9.213,
2011-09,10.273,
2011-10,9.777,
2011-11,9.525,
2011-12,11.382,
2012-01,10.003,
2012-02,10.146,
2012-03,10.307,
2012-04,9.986,
2012-05,9.901,
2012-06,10.935,
2012-07,9.893,
2012-08,9.829,
2012-09,10.779,
2012-10,10.371,
2012-11,11.333,
2012-12,11.639,
2013-01,10.749,
2013-02,11.097,
2013-03,11.255,
2013-04,10.950,
2013-05,10.878,
2013-06,11.081,
2013-07,10.477,
2013-08,9.949,
2013-09,11.713,
2013-10,11.167,
2013-11,11.278,
2013-12,12.299,
2014-01,10.801,
2014-02,11.004,
2014-03,11.876,
2014-04,11.572,
2014-05,11.301,
2014-06,11.768,
2014-07,10.986,
2014-08,11.363,
2014-09,12.137,
2014-10,11.768,
2014-11,11.338,
2014-12,12.467,
"",General: Up to December including Niederl.Antillen,
