"",BBK01.OEXO05N,BBK01.OEXO05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:22,
2002-01,0.064,
2002-04,0.045,
2002-07,0.052,
2002-10,0.679,
2003-01,0.044,
2003-04,0.048,
2003-07,0.043,
2003-10,0.735,
2004-01,0.026,
2004-04,0.028,
2004-07,0.036,
2004-10,0.118,
2005-01,0.016,
2005-04,0.015,
2005-07,0.019,
2005-10,0.088,
2006-01,0.014,
2006-04,0.013,
2006-07,0.013,
2006-10,0.101,
2007-01,0.018,
2007-04,0.017,
2007-07,0.019,
2007-10,0.151,
2008-01,0.061,
2008-04,0.039,
2008-07,0.044,
2008-10,0.205,
2009-01,0.074,
2009-04,0.048,
2009-07,0.055,
2009-10,0.231,
2010-01,0.054,
2010-04,0.023,
2010-07,0.033,
2010-10,0.086,
2011-01,0.016,
2011-04,0.018,
2011-07,0.028,
2011-10,0.099,
2012-01,0.033,
2012-04,0.019,
2012-07,0.030,
2012-10,0.072,
2013-01,0.023,
2013-04,0.020,
2013-07,0.011,
2013-10,0.033,
2014-01,0.007,
2014-04,0.005,
2014-07,0.005,
