"",BBK01.OEHB21G,BBK01.OEHB21G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:10,
2002-01,1.593,
2002-04,1.590,
2002-07,1.582,
2002-10,1.574,
2003-01,1.679,
2003-04,1.858,
2003-07,1.903,
2003-10,1.973,
2004-01,2.056,
2004-04,2.196,
2004-07,2.269,
2004-10,2.337,
2005-01,2.484,
2005-04,2.546,
2005-07,2.588,
2005-10,2.639,
2006-01,2.710,
2006-04,2.830,
2006-07,2.862,
2006-10,2.983,
2007-01,3.041,
2007-04,3.053,
2007-07,3.027,
2007-10,2.980,
2008-01,2.988,
2008-04,2.976,
2008-07,2.957,
2008-10,2.956,
2009-01,3.207,
2009-04,3.386,
2009-07,3.557,
2009-10,3.633,
2010-01,3.855,
2010-04,3.968,
2010-07,3.992,
2010-10,4.242,
2011-01,4.134,
2011-04,4.136,
2011-07,4.192,
2011-10,4.346,
2012-01,4.406,
2012-04,4.251,
2012-07,4.284,
2012-10,4.503,
2013-01,4.451,
2013-04,4.439,
2013-07,4.569,
2013-10,4.654,
2014-01,4.709,
2014-04,4.841,
2014-07,4.695,
