"",BBEX3.M.UGX.USD.CA.AB.A01,BBEX3.M.UGX.USD.CA.AB.A01_FLAGS
2005-05,1766.75,
2005-06,1745.14,
2005-07,1778.15,
2005-08,1827.45,
2005-09,1868.40,
2005-10,1837.55,
2005-11,1833.50,
2005-12,1819.25,
2006-01,1819.58,
2006-02,1829.98,
2006-03,1826.23,
2006-04,1830.88,
2006-05,1852.12,
2006-06,1864.84,
2006-07,1862.86,
2006-08,1855.67,
2006-09,1862.00,
2006-10,1828.75,
2006-11,1815.54,
2006-12,1745.19,
2007-01,1783.74,
2007-02,1747.79,
2007-03,1742.14,
2007-04,1740.46,
2007-05,1701.15,
2007-06,1612.72,
2007-07,1665.88,
2007-08,1807.71,
2007-09,1756.13,
2007-10,1741.43,
2007-11,1735.03,
2007-12,1703.60,
2008-01,1733.84,
2008-02,1697.62,
2008-03,1696.11,
2008-04,1685.52,
2008-05,1633.47,
2008-06,1629.96,
2008-07,1645.81,
2008-08,1651.69,
2008-09,1674.06,
2008-10,1980.10,
2008-11,2001.12,
2008-12,1960.90,
2009-01,1994.61,
2009-02,1983.03,
2009-03,2173.96,
2009-04,2234.91,
2009-05,2247.52,
2009-06,2086.64,
2009-07,2112.14,
2009-08,2071.46,
2009-09,1944.57,
2009-10,1887.13,
2009-11,1878.52,
2009-12,1908.57,
2010-01,1952.21,
2010-02,2037.76,
2010-03,2089.75,
2010-04,2104.02,
2010-05,2235.47,
2010-06,2282.81,
2010-07,2241.44,
2010-08,2270.52,
2010-09,2249.90,
2010-10,2286.86,
2010-11,2308.63,
2010-12,2325.13,
2011-01,2297.32,
2011-02,2357.13,
2011-03,2408.08,
2011-04,2385.79,
2011-05,2397.24,
2011-06,2686.49,
2011-07,2611.29,
2011-08,2826.19,
2011-09,2858.30,
2011-10,2614.71,
2011-11,2570.26,
2011-12,2498.27,
2012-01,2344.40,
2012-02,2370.27,
2012-03,2524.82,
2012-04,2511.56,
2012-05,2484.82,
2012-06,2478.21,
2012-07,2483.17,
2012-08,2504.19,
2012-09,2540.70,
2012-10,2593.88,
2012-11,2693.32,
2012-12,2690.91,
2013-01,2670.05,
2013-02,2651.15,
2013-03,2599.71,
2013-04,2602.39,
2013-05,2599.45,
2013-06,2598.24,
2013-07,2587.11,
2013-08,2594.22,
2013-09,2565.41,
2013-10,2529.24,
2013-11,2529.35,
2013-12,2532.93,
2014-01,2480.09,
2014-02,2542.95,
2014-03,2554.48,
2014-04,2526.35,
2014-05,2562.58,
2014-06,2604.60,
2014-07,2630.11,
2014-08,2621.99,
2014-09,2656.62,
2014-10,2712.28,
2014-11,2784.93,
2014-12,2778.07,
2015-01,2871.80,
"","General: * In addition to the published exchange rates, according to IMF reports, from 14 June to 26 November 1989 and from 2 July 1990 to 31 October 1993, other exchange rates existed; however, we do not have any details of these exchange rates or explanations as to their use.",
"","Source: Bank of Uganda, Kampala",
"",Comment on 1988-07: 1 July 1988: devaluation by 60.0% (middle rate).,
"",Comment on 1988-12: 5 December 1988: devaluation by 9.1%.,
"",Comment on 1989-03: 8 March 1989: devaluation by 17.5%.,
"",Comment on 1989-10: 24 October 1989: devaluation by 41.2%.,
"",Comment on 1989-11: 27 November 1989: devaluation by 8.1%.,
