"",BBK01.OEBM01I,BBK01.OEBM01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:15,
2002-01,0.664,
2002-04,0.691,
2002-07,0.551,
2002-10,0.796,
2003-01,1.754,
2003-04,1.708,
2003-07,1.347,
2003-10,1.308,
2004-01,1.578,
2004-04,1.281,
2004-07,1.670,
2004-10,1.730,
2005-01,1.822,
2005-04,1.623,
2005-07,1.393,
2005-10,1.655,
2006-01,1.879,
2006-04,2.737,
2006-07,2.533,
2006-10,2.084,
2007-01,2.131,
2007-04,2.177,
2007-07,2.513,
2007-10,3.212,
2008-01,2.441,
2008-04,2.519,
2008-07,1.993,
2008-10,2.846,
2009-01,3.889,
2009-04,4.502,
2009-07,4.973,
2009-10,3.399,
2010-01,4.879,
2010-04,4.644,
2010-07,3.848,
2010-10,2.732,
2011-01,4.241,
2011-04,4.292,
2011-07,4.574,
2011-10,5.710,
2012-01,4.936,
2012-04,6.230,
2012-07,5.584,
2012-10,4.695,
2013-01,7.528,
2013-04,9.863,
2013-07,8.920,
2013-10,6.946,
2014-01,7.436,
2014-04,8.132,
2014-07,7.293,
