"",BBFB1.Q.N.DE.E1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:14,
1991-01,8254.338,
1991-04,7373.836,
1991-07,7632.195,
1991-10,8631.390,
1992-01,8444.592,
1992-04,7922.219,
1992-07,8476.100,
1992-10,8788.733,
1993-01,8216.934,
1993-04,8632.127,
1993-07,8839.173,
1993-10,10214.407,
1994-01,9250.717,
1994-04,8835.989,
1994-07,9214.494,
1994-10,10085.619,
1995-01,9960.537,
1995-04,9329.430,
1995-07,9525.739,
1995-10,10504.561,
1996-01,9784.737,
1996-04,9835.248,
1996-07,7968.819,
1996-10,9611.204,
1997-01,11443.669,
1997-04,8708.858,
1997-07,9833.667,
1997-10,8089.478,
1998-01,13210.976,
1998-04,8790.552,
1998-07,10179.751,
1998-10,10276.721,
1999-01,11942.552,
1999-04,10765.627,
1999-07,12032.270,
1999-10,11529.627,
2000-01,12430.738,
2000-04,12009.000,
2000-07,11409.796,
2000-10,13004.615,
2001-01,12988.800,
2001-04,13320.688,
2001-07,11759.183,
2001-10,12156.126,
2002-01,12016.720,
2002-04,11649.796,
2002-07,9406.823,
2002-10,10831.887,
2003-01,14686.998,
2003-04,15385.590,
2003-07,15073.268,
2003-10,13228.487,
2004-01,15104.243,
2004-04,13448.533,
2004-07,13369.567,
2004-10,11746.552,
2005-01,15129.697,
2005-04,11956.436,
2005-07,12484.109,
2005-10,11383.542,
2006-01,15658.650,
2006-04,12397.018,
2006-07,13591.693,
2006-10,13462.077,
2007-01,15033.425,
2007-04,12045.697,
2007-07,11978.761,
2007-10,13497.290,
2008-01,15409.395,
2008-04,12278.448,
2008-07,11495.300,
2008-10,14290.200,
2009-01,13676.747,
2009-04,11144.962,
2009-07,11032.757,
2009-10,14775.569,
2010-01,16667.866,
2010-04,12561.542,
2010-07,14297.616,
2010-10,15455.601,
2011-01,18278.542,
2011-04,14967.741,
2011-07,15859.172,
2011-10,16418.053,
2012-01,20870.255,
2012-04,16257.796,
2012-07,16190.737,
2012-10,17665.148,
2013-01,21930.576,
2013-04,17455.162,
2013-07,17146.591,
2013-10,17967.999,
2014-01,21711.120,Provisional value
2014-04,17937.693,Provisional value
2014-07,14789.015,Provisional value
