"",BBK01.OEAC51P,BBK01.OEAC51P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:07,
2002-01,0.094,
2002-04,0.094,
2002-07,0.094,
2002-10,0.105,
2003-01,0.106,
2003-04,0.109,
2003-07,0.109,
2003-10,0.102,
2004-01,0.100,
2004-04,0.099,
2004-07,0.105,
2004-10,0.106,
2005-01,0.096,
2005-04,0.098,
2005-07,0.101,
2005-10,0.101,
2006-01,0.102,
2006-04,0.104,
2006-07,0.104,
2006-10,0.102,
2007-01,0.102,
2007-04,0.102,
2007-07,0.103,
2007-10,0.101,
2008-01,0.104,
2008-04,0.104,
2008-07,0.098,
2008-10,0.106,
2009-01,0.099,
2009-04,0.096,
2009-07,0.099,
2009-10,0.099,
2010-01,0.098,
2010-04,0.103,
2010-07,0.094,
2010-10,0.097,
2011-01,0.098,
2011-04,0.097,
2011-07,0.102,
2011-10,0.105,
2012-01,0.107,
2012-04,0.109,
2012-07,0.110,
2012-10,0.110,
2013-01,0.110,
2013-04,0.110,
2013-07,0.119,
2013-10,0.120,
2014-01,0.120,
2014-04,0.119,
2014-07,0.119,
