"",BBK01.OEAH50O,BBK01.OEAH50O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:06,
2002-01,0.208,
2002-04,0.207,
2002-07,0.208,
2002-10,0.217,
2003-01,0.201,
2003-04,0.190,
2003-07,0.185,
2003-10,0.197,
2004-01,0.194,
2004-04,0.194,
2004-07,0.195,
2004-10,0.209,
2005-01,0.209,
2005-04,0.210,
2005-07,0.207,
2005-10,0.206,
2006-01,0.212,
2006-04,0.222,
2006-07,0.240,
2006-10,0.254,
2007-01,0.285,
2007-04,0.320,
2007-07,0.348,
2007-10,0.388,
2008-01,0.395,
2008-04,0.410,
2008-07,0.443,
2008-10,0.486,
2009-01,0.438,
2009-04,0.362,
2009-07,0.315,
2009-10,0.280,
2010-01,0.271,
2010-04,0.263,
2010-07,0.255,
2010-10,0.259,
2011-01,0.271,
2011-04,0.293,
2011-07,0.303,
2011-10,0.320,
2012-01,0.310,
2012-04,0.307,
2012-07,0.298,
2012-10,0.289,
2013-01,0.272,
2013-04,0.259,
2013-07,0.241,
2013-10,0.234,
2014-01,0.227,
2014-04,0.223,
2014-07,0.217,
