"",BBK01.OEBJ05G,BBK01.OEBJ05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:30,
2002-01,11.410,
2002-04,11.568,
2002-07,11.441,
2002-10,11.798,
2003-01,11.902,
2003-04,11.658,
2003-07,11.893,
2003-10,12.216,
2004-01,12.396,
2004-04,12.538,
2004-07,13.021,
2004-10,12.967,
2005-01,7.814,
2005-04,7.836,
2005-07,2.678,
2005-10,2.684,
2006-01,2.686,
2006-04,2.668,
2006-07,2.831,
2006-10,2.942,
2007-01,3.745,
2007-04,4.472,
2007-07,4.773,
2007-10,5.162,
2008-01,5.336,
2008-04,5.427,
2008-07,5.515,
2008-10,5.726,
2009-01,5.825,
2009-04,6.120,
2009-07,5.952,
2009-10,5.889,
2010-01,5.942,
2010-04,5.920,
2010-07,5.930,
2010-10,6.480,
2011-01,6.483,
2011-04,6.464,
2011-07,7.741,
2011-10,7.807,
2012-01,7.878,
2012-04,8.010,
2012-07,7.676,
2012-10,7.519,
2013-01,7.592,
2013-04,7.645,
2013-07,7.953,
2013-10,7.711,
2014-01,7.611,
2014-04,7.511,
2014-07,7.359,
