"",BBK01.OEYK04N,BBK01.OEYK04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:08,
2002-01,0.014,
2002-04,0.010,
2002-07,0.009,
2002-10,0.050,
2003-01,0.005,
2003-04,0.006,
2003-07,0.002,
2003-10,0.033,
2004-01,0.001,
2004-04,0.001,
2004-07,0.001,
2004-10,0.149,
2005-01,0.149,
2005-04,0.001,
2005-07,0.001,
2005-10,0.001,
2006-01,0.001,
2006-04,0.002,
2006-07,0.015,
2006-10,0.020,
2007-01,0.016,
2007-04,0.016,
2007-07,0.012,
2007-10,0.014,
2008-01,0.033,
2008-04,0.027,
2008-07,0.023,
2008-10,0.020,
2009-01,0.019,
2009-04,0.016,
2009-07,0.015,
2009-10,0.013,
2010-01,0.012,
2010-04,0.027,
2010-07,0.024,
2010-10,0.007,
2011-01,0.005,
2011-04,0.081,
2011-07,0.173,
2011-10,0.268,
2012-01,0.391,
2012-04,0.376,
2012-07,0.343,
2012-10,0.355,
2013-01,0.365,
2013-04,0.340,
2013-07,0.313,
2013-10,0.190,
2014-01,0.239,
2014-04,0.238,
2014-07,0.223,
