"",BBK01.OEAL09K,BBK01.OEAL09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:47,
2002-01,0.927,
2002-04,0.886,
2002-07,0.899,
2002-10,0.856,
2003-01,0.744,
2003-04,0.721,
2003-07,0.690,
2003-10,0.733,
2004-01,0.746,
2004-04,0.731,
2004-07,0.719,
2004-10,0.665,
2005-01,0.649,
2005-04,0.638,
2005-07,0.632,
2005-10,0.660,
2006-01,0.663,
2006-04,0.691,
2006-07,0.680,
2006-10,0.688,
2007-01,0.795,
2007-04,0.845,
2007-07,0.926,
2007-10,1.045,
2008-01,1.088,
2008-04,1.157,
2008-07,1.169,
2008-10,1.621,
2009-01,1.633,
2009-04,1.706,
2009-07,1.729,
2009-10,1.459,
2010-01,1.235,
2010-04,1.242,
2010-07,1.190,
2010-10,1.310,
2011-01,1.434,
2011-04,1.458,
2011-07,1.469,
2011-10,1.432,
2012-01,1.347,
2012-04,1.308,
2012-07,1.204,
2012-10,1.038,
2013-01,0.903,
2013-04,0.735,
2013-07,0.701,
2013-10,0.700,
2014-01,0.726,
2014-04,0.731,
2014-07,0.863,
