"",BBEX3.M.USD.GBP.CA.AB.A01,BBEX3.M.USD.GBP.CA.AB.A01_FLAGS
"",Exchange rates (closing) for the pound sterling in the United States / GBP 1 = USD ... (selling),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:52,
1989-01,1.7530,
1989-02,1.7435,
1989-03,1.6865,
1989-04,1.6875,
1989-05,1.5720,
1989-06,1.5540,
1989-07,1.6660,
1989-08,1.5690,
1989-09,1.6200,
1989-10,1.5810,
1989-11,1.5705,
1989-12,1.6110,
1990-01,1.6780,
1990-02,1.6760,
1990-03,1.6460,
1990-04,1.6410,
1990-05,1.6790,
1990-06,1.7495,
1990-07,1.8647,
1990-08,1.8910,
1990-09,1.8788,
1990-10,1.9440,
1990-11,1.9440,
1990-12,1.9350,
1991-01,1.9670,
1991-02,1.9130,
1991-03,1.7414,
1991-04,1.7320,
1991-05,1.6980,
1991-06,1.6225,
1991-07,1.6860,
1991-08,1.6812,
1991-09,1.7495,
1991-10,1.7400,
1991-11,1.7682,
1991-12,1.8700,
1992-01,1.7860,
1992-02,1.7577,
1992-03,1.7370,
1992-04,1.7780,
1992-05,1.8290,
1992-06,1.9050,
1992-07,1.9280,
1992-08,1.9885,
1992-09,1.7855,
1992-10,1.5567,
1992-11,1.5160,
1992-12,1.5110,
1993-01,1.4875,
1993-02,1.4275,
1993-03,1.5143,
1993-04,1.5740,
1993-05,1.5617,
1993-06,1.4925,
1993-07,1.4822,
1993-08,1.4921,
1993-09,1.4965,
1993-10,1.4820,
1993-11,1.4870,
1993-12,1.4775,
1994-01,1.5057,
1994-02,1.4860,
1994-03,1.4840,
1994-04,1.5195,
1994-05,1.5110,
1994-06,1.5441,
1994-07,1.5435,
1994-08,1.5340,
1994-09,1.5805,
1994-10,1.6357,
1994-11,1.5650,
1994-12,1.5670,
1995-01,1.5805,
1995-02,1.5840,
1995-03,1.6230,
1995-04,1.6130,
1995-05,1.5880,
1995-06,1.5955,
1995-07,1.5965,
1995-08,1.5500,
1995-09,1.5848,
1995-10,1.5810,
1995-11,1.5320,
1995-12,1.5520,
1996-01,1.5135,
1996-02,1.5324,
1996-03,1.5275,
1996-04,1.5082,
1996-05,1.5517,
1996-06,1.5535,
1996-07,1.5569,
1996-08,1.5632,
1996-09,1.5660,
1996-10,1.6270,
1996-11,1.6825,
1996-12,1.7135,
1997-01,1.6035,
1997-02,1.6290,
1997-03,1.6385,
1997-04,1.6243,
1997-05,1.6415,
1997-06,1.6650,
1997-07,1.6407,
1997-08,1.6210,
1997-09,1.6195,
1997-10,1.6740,
1997-11,1.6895,
1997-12,1.6480,
1998-01,1.6335,
1998-02,1.6443,
1998-03,1.6730,
1998-04,1.6723,
1998-05,1.6305,
1998-06,1.6682,
1998-07,1.6340,
1998-08,1.6810,
1998-09,1.6993,
1998-10,1.6760,
1998-11,1.6484,
1998-12,1.6544,
1999-01,1.6460,
1999-02,1.6022,
1999-03,1.6117,
1999-04,1.6100,
1999-05,1.6017,
1999-06,1.5780,
1999-07,1.6222,
1999-08,1.6055,
1999-09,1.6478,
1999-10,1.6440,
1999-11,1.5988,
1999-12,1.6186,
2000-01,1.6161,
2000-02,1.5790,
2000-03,1.5919,
2000-04,1.5522,
2000-05,1.4954,
2000-06,1.5174,
2000-07,1.4993,
2000-08,1.4475,
2000-09,1.4774,
2000-10,1.4482,
2000-11,1.4270,
2000-12,1.4963,
2001-01,1.4644,
2001-02,1.4452,
2001-03,1.4170,
2001-04,1.4318,
2001-05,1.4185,
2001-06,1.4161,
2001-07,1.4254,
2001-08,1.4538,
2001-09,1.4738,
2001-10,1.4542,
2001-11,1.4251,
2001-12,1.4551,
2002-01,1.4102,
2002-02,1.4167,
2002-03,1.4262,
2002-04,1.4575,
2002-05,1.4571,
2002-06,1.5328,
2002-07,1.5644,
2002-08,1.5507,
2002-09,1.5691,
2002-10,1.5658,
2002-11,1.5576,
2002-12,1.6123,
2003-01,1.6488,
2003-02,1.5737,
2003-03,1.5835,
2003-04,1.5993,
2003-05,1.6355,
2003-06,1.6556,
2003-07,1.6113,
2003-08,1.5779,
2003-09,1.6642,
2003-10,1.6964,
2003-11,1.7230,
2003-12,1.7863,
2004-01,1.8249,
2004-02,1.8685,
2004-03,1.8459,
2004-04,1.7782,
2004-05,1.8333,
2004-06,1.8202,
2004-07,1.8220,
2004-08,1.8028,
2004-09,1.8124,
2004-10,1.8371,
2004-11,1.9111,
2004-12,1.9308,
2005-01,1.8839,
2005-02,1.9220,
2005-03,1.8904,
2005-04,1.9081,
2005-05,1.8166,
2005-06,1.7919,
2005-07,1.7582,
2005-08,1.8042,
2005-09,1.7667,
2005-10,1.7703,
2005-11,1.7292,
2005-12,1.7236,
2006-01,1.7782,
2006-02,1.7538,
2006-03,1.7381,
2006-04,1.8256,
2006-05,1.8704,
2006-06,1.8500,
2006-07,1.8685,
2006-08,1.9050,
2006-09,1.8720,
2006-10,1.9079,
2006-11,1.9656,
2006-12,1.9595,
2007-01,1.9646,
2007-02,1.9641,
2007-03,1.9680,
2007-04,1.9999,
2007-05,1.9803,
2007-06,2.0081,
2007-07,2.0313,
2007-08,2.0176,
2007-09,2.0471,
2007-10,2.0790,
2007-11,2.0578,
2007-12,1.9855,
2008-01,1.9885,
2008-02,1.9872,
2008-03,1.9849,
2008-04,1.9885,
2008-05,1.9823,
2008-06,1.9922,
2008-07,1.9835,
2008-08,1.8231,
2008-09,1.7775,
2008-10,1.6097,
2008-11,1.5387,
2008-12,1.4620,
2009-01,1.4519,
2009-02,1.4308,
2009-03,1.4341,
2009-04,1.4790,
2009-05,1.6187,
2009-06,1.6450,
2009-07,1.6715,
2009-08,1.6289,
2009-09,1.5990,
2009-10,1.6434,
2009-11,1.6449,
2009-12,1.6162,
2010-01,1.6001,
2010-02,1.5248,
2010-03,1.5183,
2010-04,1.5303,
2010-05,1.4536,
2010-06,1.4949,
2010-07,1.5698,
2010-08,1.5352,
2010-09,1.5719,
2010-10,1.6028,
2010-11,1.5559,
2010-12,1.5604,
2011-01,1.6020,
2011-02,1.6260,
2011-03,1.6033,
2011-04,1.6709,
2011-05,1.6449,
2011-06,1.6049,
2011-07,1.6453,
2011-08,1.6249,
2011-09,1.5591,
2011-10,1.6089,
2011-11,1.5696,
2011-12,1.5540,
2012-01,1.5756,
2012-02,1.5920,
2012-03,1.6000,
2012-04,1.6235,
2012-05,1.5404,
2012-06,1.5670,
2012-07,1.5676,
2012-08,1.5876,
2012-09,1.6149,
2012-10,1.6134,
2012-11,1.6022,
2012-12,1.6235,
2013-01,1.5859,
2013-02,1.5156,
2013-03,1.5205,
2013-04,1.5535,
2013-05,1.5199,
2013-06,1.5206,
2013-07,1.5210,
2013-08,1.5489,
2013-09,1.6187,
2013-10,1.6035,
2013-11,1.6357,
2013-12,1.6568,
2014-01,1.6444,
2014-02,1.6745,
2014-03,1.6669,
2014-04,1.6874,
2014-05,1.6763,
2014-06,1.7113,
2014-07,1.6883,
2014-08,1.6606,
2014-09,1.6213,
2014-10,1.6012,
2014-11,1.5643,
2014-12,1.5581,
2015-01,1.5079,
