"",BBK01.CEFQ30,BBK01.CEFQ30_FLAGS
"",short-term time deposits                                 debtor: MFI                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:44,
1999-01,806.6,
1999-04,818.2,
1999-07,858.2,
1999-10,938.0,
2000-01,927.6,
2000-04,910.9,
2000-07,942.9,
2000-10,1056.6,
2001-01,1099.6,
2001-04,1079.2,
2001-07,1070.7,
2001-10,1123.8,
2002-01,1043.9,
2002-04,1008.4,
2002-07,1034.1,
2002-10,1108.2,
2003-01,1065.0,
2003-04,1063.6,
2003-07,1039.5,
2003-10,1093.0,
2004-01,1037.2,
2004-04,1049.3,
2004-07,1057.5,
2004-10,1165.7,
2005-01,1095.0,
2005-04,1107.0,
2005-07,1144.0,
2005-10,1198.1,
2006-01,1218.9,
2006-04,1218.6,
2006-07,1223.3,
2006-10,1275.2,
2007-01,1310.6,
2007-04,1311.9,
2007-07,1421.6,
2007-10,1617.2,
2008-01,1558.3,
2008-04,1576.8,
2008-07,1701.4,
2008-10,1673.6,
2009-01,1414.8,
2009-04,1430.8,
2009-07,1261.5,
2009-10,1207.1,
2010-01,1134.2,
2010-04,1185.7,
2010-07,1069.2,
2010-10,1097.6,
2011-01,1000.9,
2011-04,966.5,
2011-07,1035.1,
2011-10,1029.9,
2012-01,1088.7,
2012-04,1065.1,
2012-07,994.8,
2012-10,877.6,
2013-01,889.8,
2013-04,869.6,
2013-07,873.2,
2013-10,882.9,
2014-01,871.6,
2014-04,853.7,
2014-07,864.2,
