"",BBK01.OEHL09L,BBK01.OEHL09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:25,
2002-01,5.032,
2002-04,4.797,
2002-07,4.807,
2002-10,4.763,
2003-01,4.493,
2003-04,4.178,
2003-07,4.052,
2003-10,4.142,
2004-01,3.952,
2004-04,3.699,
2004-07,3.606,
2004-10,3.880,
2005-01,3.970,
2005-04,3.911,
2005-07,3.843,
2005-10,3.864,
2006-01,3.823,
2006-04,3.975,
2006-07,4.293,
2006-10,4.836,
2007-01,5.064,
2007-04,5.008,
2007-07,4.865,
2007-10,4.793,
2008-01,4.340,
2008-04,3.999,
2008-07,3.928,
2008-10,4.034,
2009-01,3.981,
2009-04,4.193,
2009-07,4.389,
2009-10,4.848,
2010-01,4.904,
2010-04,4.497,
2010-07,4.002,
2010-10,3.671,
2011-01,3.402,
2011-04,3.333,
2011-07,3.240,
2011-10,3.197,
2012-01,3.117,
2012-04,2.938,
2012-07,2.602,
2012-10,2.416,
2013-01,2.199,
2013-04,2.022,
2013-07,1.893,
2013-10,2.053,
2014-01,2.201,
2014-04,2.266,
2014-07,2.168,
