"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00122.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00122.000000.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:52,
2009-09,10697,
2009-10,9985,
2009-11,9662,
2009-12,10074,
2010-01,9376,
2010-02,9701,
2010-03,10542,
2010-04,9298,
2010-05,10700,
2010-06,7803,
2010-07,8757,
2010-08,8116,
2010-09,8131,
2010-10,8744,
2010-11,7852,
2010-12,8706,
2011-01,9574,
2011-02,10056,
2011-03,9207,
2011-04,9484,
2011-05,9291,
2011-06,9132,
2011-07,8410,
2011-08,6722,
2011-09,6086,
2011-10,6452,
2011-11,5735,
2011-12,6026,
2012-01,7159,
2012-02,7577,
2012-03,7660,
2012-04,6659,
2012-05,6691,
2012-06,6484,
2012-07,5836,
2012-08,6239,
2012-09,6741,
2012-10,7133,
2012-11,7283,
2012-12,7683,
2013-01,8360,
2013-02,8144,
2013-03,7631,
2013-04,8151,
2013-05,9188,
2013-06,8467,
2013-07,8976,
2013-08,8996,
2013-09,9535,
2013-10,10407,
2013-11,10456,
2013-12,10915,
2014-01,11349,
2014-02,11854,
2014-03,11790,
2014-04,11717,
2014-05,11879,
2014-06,11543,
2014-07,11555,
2014-08,11736,
2014-09,11972,
2014-10,11641,
2014-11,11840,
