"",BBK01.OEHB24G,BBK01.OEHB24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:11,
2002-01,1.209,
2002-04,1.207,
2002-07,1.198,
2002-10,1.254,
2003-01,1.249,
2003-04,1.343,
2003-07,1.442,
2003-10,1.571,
2004-01,1.589,
2004-04,1.688,
2004-07,1.755,
2004-10,1.848,
2005-01,1.884,
2005-04,1.878,
2005-07,1.951,
2005-10,2.027,
2006-01,2.067,
2006-04,2.186,
2006-07,2.223,
2006-10,2.318,
2007-01,2.330,
2007-04,2.332,
2007-07,2.299,
2007-10,2.208,
2008-01,2.185,
2008-04,2.201,
2008-07,2.234,
2008-10,2.277,
2009-01,2.276,
2009-04,2.321,
2009-07,2.364,
2009-10,2.417,
2010-01,2.491,
2010-04,2.675,
2010-07,2.713,
2010-10,2.818,
2011-01,2.850,
2011-04,2.887,
2011-07,3.001,
2011-10,3.110,
2012-01,3.198,
2012-04,3.201,
2012-07,3.245,
2012-10,3.370,
2013-01,3.388,
2013-04,3.392,
2013-07,3.526,
2013-10,3.639,
2014-01,3.680,
2014-04,3.863,
2014-07,3.833,
