"",BBK01.CEFP0I,BBK01.CEFP0I_FLAGS
"",Time deposits  debtor: Total   creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:39,
1999-01,249.1,
1999-04,240.6,
1999-07,235.1,
1999-10,241.8,
2000-01,238.0,
2000-04,237.5,
2000-07,242.7,
2000-10,251.5,
2001-01,260.0,
2001-04,262.6,
2001-07,265.4,
2001-10,269.1,
2002-01,265.6,
2002-04,261.1,
2002-07,259.8,
2002-10,263.9,
2003-01,259.9,
2003-04,254.0,
2003-07,249.5,
2003-10,246.3,
2004-01,243.3,
2004-04,237.9,
2004-07,235.2,
2004-10,240.3,
2005-01,236.4,
2005-04,233.1,
2005-07,232.7,
2005-10,239.4,
2006-01,244.4,
2006-04,246.7,
2006-07,258.1,
2006-10,271.3,
2007-01,279.5,
2007-04,287.2,
2007-07,304.0,
2007-10,328.4,
2008-01,344.0,
2008-04,359.7,
2008-07,375.6,
2008-10,401.8,
2009-01,352.3,
2009-04,328.5,
2009-07,298.8,
2009-10,277.7,
2010-01,264.7,
2010-04,260.3,
2010-07,256.2,
2010-10,262.6,
2011-01,261.4,
2011-04,266.5,
2011-07,273.4,
2011-10,280.5,
2012-01,284.6,
2012-04,284.0,
2012-07,279.5,
2012-10,274.4,
2013-01,269.9,
2013-04,267.0,
2013-07,261.6,
2013-10,263.6,
2014-01,265.6,
2014-04,267.8,
2014-07,268.5,
