"",BBFB1.Q.N.DE.F1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:05,
1991-01,8.812,
1991-04,9.052,
1991-07,9.982,
1991-10,6.937,
1992-01,8.372,
1992-04,7.027,
1992-07,10.225,
1992-10,8.959,
1993-01,10.332,
1993-04,18.894,
1993-07,18.018,
1993-10,19.867,
1994-01,13.539,
1994-04,21.827,
1994-07,16.405,
1994-10,14.977,
1995-01,13.369,
1995-04,8.073,
1995-07,7.451,
1995-10,9.390,
1996-01,7.903,
1996-04,6.956,
1996-07,5.099,
1996-10,6.289,
1997-01,8.729,
1997-04,7.429,
1997-07,7.578,
1997-10,11.890,
1998-01,7.322,
1998-04,7.814,
1998-07,7.273,
1998-10,13.887,
1999-01,38.915,
1999-04,19.435,
1999-07,15.916,
1999-10,12.284,
2000-01,7.430,
2000-04,11.222,
2000-07,7.018,
2000-10,34.708,
2001-01,47.175,
2001-04,11.131,
2001-07,278.065,
2001-10,79.295,
2002-01,153.750,
2002-04,9.471,
2002-07,6.939,
2002-10,-5.548,
2003-01,5.175,
2003-04,37.673,
2003-07,252.960,
2003-10,28.982,
2004-01,5.457,
2004-04,4.625,
2004-07,10.010,
2004-10,99.519,
2005-01,8.241,
2005-04,5.353,
2005-07,3.870,
2005-10,3.137,
2006-01,4.795,
2006-04,6.770,
2006-07,12.354,
2006-10,4.176,
2007-01,5.859,
2007-04,5.803,
2007-07,12.410,
2007-10,20.214,
2008-01,5.763,
2008-04,8.131,
2008-07,12.799,
2008-10,16.168,
2009-01,5.812,
2009-04,24.195,
2009-07,3.792,
2009-10,4.432,
2010-01,20.975,
2010-04,19.151,
2010-07,9.622,
2010-10,11.031,
2011-01,17.404,
2011-04,21.463,
2011-07,16.335,
2011-10,18.242,
2012-01,15.369,
2012-04,19.980,
2012-07,10.479,
2012-10,16.712,
2013-01,13.104,
2013-04,20.363,
2013-07,9.499,
2013-10,11.085,
2014-01,9.460,Provisional value
2014-04,11.470,Provisional value
2014-07,1.852,Provisional value
