"",BBFB1.Q.N.DE.B5.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:29,
1991-01,844.725,
1991-04,-965.531,
1991-07,-1460.388,
1991-10,57.454,
1992-01,283.368,
1992-04,-2017.186,
1992-07,-1730.552,
1992-10,-2204.947,
1993-01,1408.991,
1993-04,-2160.822,
1993-07,-5620.342,
1993-10,-2288.903,
1994-01,-1112.673,
1994-04,-3205.868,
1994-07,-6675.676,
1994-10,-2382.285,
1995-01,-2623.982,
1995-04,-3212.391,
1995-07,-5790.824,
1995-10,468.984,
1996-01,-937.209,
1996-04,-5020.248,
1996-07,-7049.132,
1996-10,669.372,
1997-01,-5449.256,
1997-04,-2944.360,
1997-07,-7256.467,
1997-10,2423.647,
1998-01,-4198.227,
1998-04,-1571.937,
1998-07,-7065.347,
1998-10,1375.393,
1999-01,-3146.315,
1999-04,-4275.494,
1999-07,-8984.544,
1999-10,1701.554,
2000-01,2567.928,
2000-04,-1487.371,
2000-07,-11499.541,
2000-10,2546.447,
2001-01,3409.305,
2001-04,-2562.369,
2001-07,-2428.920,
2001-10,7773.145,
2002-01,6467.711,
2002-04,4099.334,
2002-07,3399.907,
2002-10,12727.217,
2003-01,7910.952,
2003-04,941.250,
2003-07,1029.194,
2003-10,15699.414,
2004-01,14674.179,
2004-04,16695.288,
2004-07,10334.701,
2004-10,23233.921,
2005-01,18424.777,
2005-04,19569.627,
2005-07,12990.789,
2005-10,26784.179,
2006-01,28115.270,
2006-04,27085.213,
2006-07,21063.489,
2006-10,36944.307,
2007-01,38788.475,
2007-04,31496.222,
2007-07,28728.314,
2007-10,44133.732,
2008-01,41546.018,
2008-04,30357.247,
2008-07,21423.710,
2008-10,28413.832,
2009-01,25962.395,
2009-04,21599.856,
2009-07,24686.232,
2009-10,36135.556,
2010-01,24239.230,
2010-04,20312.074,
2010-07,18023.354,
2010-10,33161.362,
2011-01,30326.046,
2011-04,21206.055,
2011-07,22500.725,
2011-10,32482.532,
2012-01,27759.406,
2012-04,21627.868,
2012-07,20386.505,
2012-10,29260.713,
2013-01,22071.446,
2013-04,18533.051,
2013-07,13013.102,
2013-10,26900.587,
2014-01,24483.905,Provisional value
2014-04,17340.853,Provisional value
2014-07,21493.320,Provisional value
