"",BBK01.OEAD09P,BBK01.OEAD09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:59,
2002-01,0.023,
2002-04,0.023,
2002-07,0.023,
2002-10,0.024,
2003-01,0.024,
2003-04,0.025,
2003-07,0.025,
2003-10,0.021,
2004-01,0.027,
2004-04,0.026,
2004-07,0.025,
2004-10,0.022,
2005-01,0.021,
2005-04,0.021,
2005-07,0.023,
2005-10,0.022,
2006-01,0.023,
2006-04,0.022,
2006-07,0.026,
2006-10,0.029,
2007-01,0.026,
2007-04,0.024,
2007-07,0.023,
2007-10,0.022,
2008-01,0.023,
2008-04,0.020,
2008-07,0.020,
2008-10,0.022,
2009-01,0.021,
2009-04,0.020,
2009-07,0.019,
2009-10,0.017,
2010-01,0.020,
2010-04,0.019,
2010-07,0.020,
2010-10,0.019,
2011-01,0.021,
2011-04,0.021,
2011-07,0.021,
2011-10,0.022,
2012-01,0.022,
2012-04,0.016,
2012-07,0.016,
2012-10,0.015,
2013-01,0.012,
2013-04,0.011,
2013-07,0.011,
2013-10,0.010,
2014-01,0.011,
2014-04,0.010,
2014-07,0.011,
