"",BBFB1.Q.N.DE.S6.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:51,
1991-01,153.387,
1991-04,32.163,
1991-07,96.243,
1991-10,3.394,
1992-01,160.386,
1992-04,119.114,
1992-07,130.685,
1992-10,141.239,
1993-01,158.155,
1993-04,7.058,
1993-07,53.620,
1993-10,-16.209,
1994-01,47.906,
1994-04,-25.762,
1994-07,-77.667,
1994-10,72.692,
1995-01,-46.785,
1995-04,-111.429,
1995-07,-120.743,
1995-10,-98.216,
1996-01,-0.043,
1996-04,-123.645,
1996-07,-143.628,
1996-10,-30.022,
1997-01,-261.301,
1997-04,-331.112,
1997-07,-366.634,
1997-10,-442.142,
1998-01,-467.777,
1998-04,-547.152,
1998-07,-226.635,
1998-10,-361.718,
1999-01,-515.640,
1999-04,-353.391,
1999-07,-193.091,
1999-10,-131.822,
2000-01,-212.334,
2000-04,-358.750,
2000-07,-258.101,
2000-10,-190.551,
2001-01,-280.393,
2001-04,-247.059,
2001-07,-160.091,
2001-10,-143.825,
2002-01,-68.097,
2002-04,26.777,
2002-07,191.310,
2002-10,289.167,
2003-01,57.539,
2003-04,60.540,
2003-07,184.849,
2003-10,273.634,
2004-01,623.630,
2004-04,677.776,
2004-07,823.959,
2004-10,831.354,
2005-01,890.994,
2005-04,1000.403,
2005-07,988.421,
2005-10,1078.642,
2006-01,805.123,
2006-04,846.763,
2006-07,915.750,
2006-10,881.791,
2007-01,1366.968,
2007-04,1302.916,
2007-07,1127.480,
2007-10,960.707,
2008-01,1324.965,
2008-04,278.121,
2008-07,118.364,
2008-10,789.881,
2009-01,1031.803,
2009-04,1127.317,
2009-07,1241.239,
2009-10,1300.085,
2010-01,1926.545,
2010-04,2061.691,
2010-07,2301.556,
2010-10,2376.657,
2011-01,2613.208,
2011-04,2703.687,
2011-07,2850.723,
2011-10,2892.746,
2012-01,2849.643,
2012-04,2698.101,
2012-07,2890.402,
2012-10,2953.746,
2013-01,2830.163,
2013-04,2758.133,
2013-07,2990.156,
2013-10,3011.110,
2014-01,2898.254,Provisional value
2014-04,2844.581,Provisional value
2014-07,3167.268,Provisional value
