"",BBK01.OELJ03O,BBK01.OELJ03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:34,
2002-01,1.369,
2002-04,1.339,
2002-07,1.384,
2002-10,1.312,
2003-01,1.305,
2003-04,1.312,
2003-07,1.395,
2003-10,1.397,
2004-01,1.387,
2004-04,1.329,
2004-07,1.328,
2004-10,1.405,
2005-01,1.469,
2005-04,1.485,
2005-07,1.478,
2005-10,1.580,
2006-01,1.581,
2006-04,1.503,
2006-07,1.639,
2006-10,1.678,
2007-01,1.726,
2007-04,1.734,
2007-07,1.778,
2007-10,1.853,
2008-01,1.802,
2008-04,1.840,
2008-07,1.982,
2008-10,1.951,
2009-01,1.792,
2009-04,1.792,
2009-07,1.718,
2009-10,1.769,
2010-01,1.602,
2010-04,1.545,
2010-07,1.520,
2010-10,1.563,
2011-01,1.501,
2011-04,1.549,
2011-07,1.567,
2011-10,1.464,
2012-01,1.365,
2012-04,1.384,
2012-07,1.348,
2012-10,1.245,
2013-01,1.168,
2013-04,1.104,
2013-07,1.131,
2013-10,1.113,
2014-01,1.216,
2014-04,1.217,
2014-07,1.202,
