"",BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:56,
1991-01,-1.434,
1991-04,187.812,
1991-07,130.593,
1991-10,246.808,
1992-01,348.123,
1992-04,71.743,
1992-07,-183.320,
1992-10,-55.150,
1993-01,-236.875,
1993-04,353.894,
1993-07,100.789,
1993-10,-146.070,
1994-01,-81.475,
1994-04,-244.153,
1994-07,-211.842,
1994-10,82.244,
1995-01,-155.203,
1995-04,-109.650,
1995-07,-23.810,
1995-10,8.933,
1996-01,362.710,
1996-04,-508.963,
1996-07,137.347,
1996-10,354.875,
1997-01,159.515,
1997-04,-110.645,
1997-07,216.598,
1997-10,47.982,
1998-01,-242.200,
1998-04,495.145,
1998-07,-147.527,
1998-10,1199.029,
1999-01,2377.035,
1999-04,399.485,
1999-07,1393.630,
1999-10,192.853,
2000-01,2027.581,
2000-04,96.717,
2000-07,-408.355,
2000-10,951.261,
2001-01,269.465,
2001-04,2744.726,
2001-07,1117.613,
2001-10,-1463.962,
2002-01,1321.932,
2002-04,791.232,
2002-07,81.205,
2002-10,136.818,
2003-01,468.925,
2003-04,134.586,
2003-07,-1078.411,
2003-10,-940.466,
2004-01,-1126.747,
2004-04,551.446,
2004-07,1562.525,
2004-10,-3287.057,
2005-01,299.103,
2005-04,-288.027,
2005-07,850.035,
2005-10,-27.011,
2006-01,1163.113,
2006-04,-35.771,
2006-07,1328.652,
2006-10,697.882,
2007-01,628.530,
2007-04,2287.520,
2007-07,-727.403,
2007-10,-1030.025,
2008-01,-882.156,
2008-04,191.452,
2008-07,-1958.146,
2008-10,173.609,
2009-01,576.778,
2009-04,567.350,
2009-07,-2344.619,
2009-10,1332.549,
2010-01,1065.418,
2010-04,414.439,
2010-07,1343.623,
2010-10,-563.230,
2011-01,754.065,
2011-04,249.961,
2011-07,-479.517,
2011-10,-297.785,
2012-01,1839.553,
2012-04,1255.745,
2012-07,-453.141,
2012-10,2102.460,
2013-01,1400.029,
2013-04,2832.932,
2013-07,3140.944,
2013-10,3576.326,
2014-01,3306.447,Provisional value
2014-04,3103.120,Provisional value
2014-07,1327.854,Provisional value
2014-10,298.938,Provisional value
