"",BBK01.OELJ03K,BBK01.OELJ03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:33,
2002-01,0.188,
2002-04,0.199,
2002-07,0.209,
2002-10,0.187,
2003-01,0.199,
2003-04,0.211,
2003-07,0.198,
2003-10,0.222,
2004-01,0.250,
2004-04,0.255,
2004-07,0.265,
2004-10,0.327,
2005-01,0.196,
2005-04,0.266,
2005-07,0.277,
2005-10,0.293,
2006-01,0.333,
2006-04,0.297,
2006-07,0.292,
2006-10,0.301,
2007-01,0.307,
2007-04,0.307,
2007-07,0.324,
2007-10,0.416,
2008-01,0.349,
2008-04,0.314,
2008-07,0.304,
2008-10,0.457,
2009-01,0.475,
2009-04,0.402,
2009-07,0.444,
2009-10,0.427,
2010-01,0.398,
2010-04,0.368,
2010-07,0.406,
2010-10,0.339,
2011-01,0.317,
2011-04,0.430,
2011-07,0.427,
2011-10,0.304,
2012-01,0.355,
2012-04,0.366,
2012-07,0.349,
2012-10,0.310,
2013-01,0.339,
2013-04,0.350,
2013-07,0.338,
2013-10,0.284,
2014-01,0.277,
2014-04,0.266,
2014-07,0.379,
