"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.PT.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.PT.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Portugal,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:20,
2009-09,5846,
2009-10,5966,
2009-11,5956,
2009-12,5711,
2010-01,5416,
2010-02,5652,
2010-03,5888,
2010-04,5052,
2010-05,4805,
2010-06,4571,
2010-07,4689,
2010-08,4780,
2010-09,4580,
2010-10,4558,
2010-11,4189,
2010-12,4210,
2011-01,4050,
2011-02,3949,
2011-03,3675,
2011-04,3169,
2011-05,2934,
2011-06,2676,
2011-07,2358,
2011-08,2237,
2011-09,2212,
2011-10,2239,
2011-11,2083,
2011-12,2097,
2012-01,1791,
2012-02,1856,
2012-03,1581,
2012-04,1448,
2012-05,1267,
2012-06,1283,
2012-07,1109,
2012-08,1195,
2012-09,1150,
2012-10,1165,
2012-11,1146,
2012-12,1586,
2013-01,1829,
2013-02,1843,
2013-03,1850,
2013-04,1902,
2013-05,1833,
2013-06,1761,
2013-07,1719,
2013-08,1719,
2013-09,1579,
2013-10,1632,
2013-11,1843,
2013-12,1706,
2014-01,1882,
2014-02,1915,
2014-03,1993,
2014-04,2028,
2014-05,2122,
2014-06,2176,
2014-07,2206,
2014-08,2214,
2014-09,2257,
2014-10,2346,
2014-11,2262,
