"",BBK01.OEAB17I,BBK01.OEAB17I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:45,
2002-01,22.282,
2002-04,22.495,
2002-07,22.186,
2002-10,21.829,
2003-01,21.946,
2003-04,22.575,
2003-07,22.023,
2003-10,21.494,
2004-01,21.736,
2004-04,21.898,
2004-07,22.910,
2004-10,22.779,
2005-01,24.282,
2005-04,24.392,
2005-07,25.206,
2005-10,26.042,
2006-01,26.170,
2006-04,26.092,
2006-07,26.962,
2006-10,26.856,
2007-01,28.062,
2007-04,28.533,
2007-07,29.112,
2007-10,29.112,
2008-01,30.530,
2008-04,32.634,
2008-07,33.757,
2008-10,36.140,
2009-01,36.127,
2009-04,37.934,
2009-07,38.080,
2009-10,38.400,
2010-01,38.142,
2010-04,38.159,
2010-07,37.320,
2010-10,36.655,
2011-01,36.167,
2011-04,35.771,
2011-07,35.479,
2011-10,34.382,
2012-01,34.048,
2012-04,33.958,
2012-07,33.351,
2012-10,33.048,
2013-01,32.438,
2013-04,32.296,
2013-07,32.194,
2013-10,32.178,
2014-01,31.583,
2014-04,31.546,
2014-07,31.700,
