"",BBK01.OEXB18L,BBK01.OEXB18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:41,
2002-01,1.512,
2002-04,1.500,
2002-07,1.563,
2002-10,1.473,
2003-01,1.600,
2003-04,1.665,
2003-07,1.683,
2003-10,1.870,
2004-01,2.081,
2004-04,2.307,
2004-07,2.487,
2004-10,2.468,
2005-01,2.113,
2005-04,2.152,
2005-07,2.040,
2005-10,2.061,
2006-01,2.120,
2006-04,2.190,
2006-07,2.363,
2006-10,2.339,
2007-01,2.319,
2007-04,2.338,
2007-07,2.284,
2007-10,2.507,
2008-01,2.372,
2008-04,2.426,
2008-07,2.522,
2008-10,2.592,
2009-01,2.539,
2009-04,2.535,
2009-07,2.860,
2009-10,2.891,
2010-01,2.887,
2010-04,2.930,
2010-07,2.928,
2010-10,2.913,
2011-01,2.863,
2011-04,2.957,
2011-07,2.980,
2011-10,3.087,
2012-01,2.956,
2012-04,2.788,
2012-07,2.842,
2012-10,2.890,
2013-01,2.904,
2013-04,2.923,
2013-07,2.927,
2013-10,2.925,
2014-01,2.863,
2014-04,3.033,
2014-07,3.036,
