"",BBSF2.M.1.P.00000.SON01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.SON01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Public funds / Other funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:12,
2009-09,118,
2009-10,99,
2009-11,185,
2009-12,186,
2010-01,213,
2010-02,213,
2010-03,234,
2010-04,231,
2010-05,225,
2010-06,171,
2010-07,164,
2010-08,151,
2010-09,154,
2010-10,151,
2010-11,155,
2010-12,166,
2011-01,166,
2011-02,165,
2011-03,154,
2011-04,168,
2011-05,169,
2011-06,168,
2011-07,160,
2011-08,158,
2011-09,155,
2011-10,154,
2011-11,149,
2011-12,150,
2012-01,154,
2012-02,154,
2012-03,155,
2012-04,159,
2012-05,153,
2012-06,159,
2012-07,160,
2012-08,169,
2012-09,181,
2012-10,179,
2012-11,183,
2012-12,188,
2013-01,186,
2013-02,192,
2013-03,194,
2013-04,194,
2013-05,195,
2013-06,193,
2013-07,193,
2013-08,190,
2013-09,184,
2013-10,176,
2013-11,176,
2013-12,173,
2014-01,179,
2014-02,198,
2014-03,191,
2014-04,184,
2014-05,208,
2014-06,193,
2014-07,212,
2014-08,200,
2014-09,173,
2014-10,164,
2014-11,164,
