"",BBK01.OEYB18Q,BBK01.OEYB18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:12,
2002-01,0.075,
2002-04,0.070,
2002-07,0.090,
2002-10,0.095,
2003-01,0.105,
2003-04,0.135,
2003-07,0.204,
2003-10,0.171,
2004-01,0.153,
2004-04,0.079,
2004-07,0.084,
2004-10,0.101,
2005-01,0.073,
2005-04,0.077,
2005-07,0.092,
2005-10,0.080,
2006-01,0.068,
2006-04,0.060,
2006-07,0.053,
2006-10,0.073,
2007-01,0.080,
2007-04,0.087,
2007-07,0.067,
2007-10,0.074,
2008-01,0.077,
2008-04,0.084,
2008-07,0.082,
2008-10,0.113,
2009-01,0.100,
2009-04,0.082,
2009-07,0.086,
2009-10,0.081,
2010-01,0.081,
2010-04,0.083,
2010-07,0.077,
2010-10,0.229,
2011-01,0.252,
2011-04,0.212,
2011-07,0.233,
2011-10,0.219,
2012-01,0.192,
2012-04,0.177,
2012-07,0.232,
2012-10,0.213,
2013-01,0.232,
2013-04,0.316,
2013-07,0.355,
2013-10,0.369,
2014-01,0.342,
2014-04,0.286,
2014-07,0.227,
